Test Start Time: Fri May 19 13:36:45 2023
-----------------------------------------
Testcase                                           Result     Exit Value
--------                                           ------     ----------
abort01                                            CONF       32   
accept01                                           CONF       32   
accept02                                           CONF       32   
accept4_01                                         CONF       32   
access01                                           CONF       32   
access02                                           CONF       32   
access03                                           CONF       32   
access04                                           CONF       32   
acct01                                             CONF       32   
acct02                                             CONF       32   
add_key01                                          CONF       32   
add_key02                                          CONF       32   
add_key03                                          CONF       32   
add_key04                                          CONF       32   
add_key05                                          CONF       32   
adjtimex01                                         CONF       32   
adjtimex02                                         CONF       32   
adjtimex03                                         CONF       32   
alarm02                                            CONF       32   
alarm03                                            CONF       32   
alarm05                                            CONF       32   
alarm06                                            CONF       32   
alarm07                                            CONF       32   
bind01                                             CONF       32   
bind02                                             CONF       32   
bind03                                             CONF       32   
bind04                                             CONF       32   
bind05                                             CONF       32   
bind06                                             CONF       32   
bpf_map01                                          CONF       32   
bpf_prog01                                         CONF       32   
bpf_prog02                                         CONF       32   
bpf_prog03                                         CONF       32   
bpf_prog04                                         CONF       32   
bpf_prog05                                         CONF       32   
bpf_prog06                                         CONF       32   
bpf_prog07                                         CONF       32   
brk01                                              CONF       32   
brk02                                              CONF       32   
capget01                                           CONF       32   
capget02                                           CONF       32   
capset01                                           CONF       32   
capset02                                           CONF       32   
capset03                                           CONF       32   
capset04                                           CONF       32   
cacheflush01                                       CONF       32   
chdir01                                            CONF       32   
chdir01                                            CONF       32   
chdir04                                            CONF       32   
chmod01                                            CONF       32   
chmod01                                            CONF       32   
chmod03                                            CONF       32   
chmod05                                            CONF       32   
chmod06                                            CONF       32   
chmod07                                            CONF       32   
chown01                                            CONF       32   
chown01_16                                         CONF       32   
chown02                                            CONF       32   
chown02_16                                         CONF       32   
chown03                                            CONF       32   
chown03_16                                         CONF       32   
chown04                                            CONF       32   
chown04_16                                         CONF       32   
chown05                                            CONF       32   
chown05_16                                         CONF       32   
chroot01                                           CONF       32   
chroot02                                           CONF       32   
chroot03                                           CONF       32   
chroot04                                           CONF       32   
clock_adjtime01                                    CONF       32   
clock_adjtime02                                    CONF       32   
clock_getres01                                     CONF       32   
clock_nanosleep01                                  CONF       32   
clock_nanosleep02                                  CONF       32   
clock_nanosleep03                                  CONF       32   
clock_nanosleep04                                  CONF       32   
clock_gettime01                                    CONF       32   
clock_gettime02                                    CONF       32   
clock_gettime03                                    CONF       32   
clock_gettime04                                    CONF       32   
leapsec01                                          CONF       32   
clock_settime01                                    CONF       32   
clock_settime02                                    CONF       32   
clock_settime03                                    CONF       32   
clone01                                            CONF       32   
clone02                                            CONF       32   
clone03                                            CONF       32   
clone04                                            CONF       32   
clone05                                            CONF       32   
clone06                                            CONF       32   
clone07                                            CONF       32   
clone08                                            CONF       32   
clone09                                            CONF       32   
clone301                                           CONF       32   
clone302                                           CONF       32   
close01                                            CONF       32   
close02                                            CONF       32   
close_range01                                      CONF       32   
close_range02                                      CONF       32   
confstr01                                          CONF       32   
connect01                                          CONF       32   
connect02                                          CONF       32   
creat01                                            CONF       32   
creat03                                            CONF       32   
creat04                                            CONF       32   
creat05                                            CONF       32   
creat06                                            CONF       32   
creat07                                            CONF       32   
creat08                                            CONF       32   
creat09                                            CONF       32   
delete_module01                                    CONF       32   
delete_module02                                    CONF       32   
delete_module03                                    CONF       32   
dup01                                              CONF       32   
dup02                                              CONF       32   
dup03                                              CONF       32   
dup04                                              CONF       32   
dup05                                              CONF       32   
dup06                                              CONF       32   
dup07                                              CONF       32   
dup201                                             CONF       32   
dup202                                             CONF       32   
