测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
openslp,oe_test_service_slpd,success,./riscv/logs/openslp/oe_test_service_slpd/2023-05-25-17_47_53.log,,,
attr,oe_test_attr,success,./riscv/logs/attr/oe_test_attr/2023-05-25-16_23_58.log,,,
lvm2,oe_test_service_lvm2-lvmdbusd,success,./riscv/logs/lvm2/oe_test_service_lvm2-lvmdbusd/2023-05-25-17_25_55.log,,,
lvm2,oe_test_socket_dm-event,success,./riscv/logs/lvm2/oe_test_socket_dm-event/2023-05-25-17_34_16.log,,,
lvm2,oe_test_socket_lvm2-lvmpolld,success,./riscv/logs/lvm2/oe_test_socket_lvm2-lvmpolld/2023-05-25-17_34_59.log,,,
lvm2,oe_test_service_blk-availability,success,./riscv/logs/lvm2/oe_test_service_blk-availability/2023-05-25-17_24_13.log,,,
lvm2,oe_test_service_dm-event,success,./riscv/logs/lvm2/oe_test_service_dm-event/2023-05-25-17_25_13.log,,,
lvm2,oe_test_lvm2_vgexport_001,x86 fail,./riscv/logs_failed/lvm2/oe_test_lvm2_vgexport_001/2023-05-25-17_56_06.log,unknown,./x86/logs_failed/lvm2/oe_test_lvm2_vgexport_001/2023-05-25-16_35_25.log,unknown
lvm2,oe_test_service_lvm2-monitor,x86 fail,./riscv/logs_failed/lvm2/oe_test_service_lvm2-monitor/systemctl_for_2023-05-25-17_29_55.log,"Broken testcase
",./x86/logs_failed/lvm2/oe_test_service_lvm2-monitor/systemctl_for_2023-05-25-16_30_09.log,"Broken testcase
"
lvm2,oe_test_lvm2_pvdisplay_001,x86 fail,./riscv/logs_failed/lvm2/oe_test_lvm2_pvdisplay_001/2023-05-25-17_47_58.log,unknown,./x86/logs_failed/lvm2/oe_test_lvm2_pvdisplay_001/2023-05-25-16_34_09.log,unknown
