测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
openslp,1,1,0,,39,372,244,128
attr,1,1,0
lvm2,26,5,21
libgpg-error,1,1,0
man-db,3,3,0
babeltrace,1,1,0
openldap,1,1,0
kernel,21,4,17
libarchive,2,1,1
cracklib,1,1,0
sqlite,17,17,0
libunistring,1,1,0
hostname,1,0,1
glibc,2,2,0
glib2,1,0,1
pam,1,1,0
cronie,2,2,0
crontabs,1,0,1
git,1,1,0
dnf,22,11,11
iputils,2,0,2
dbus,2,2,0
kmod,7,1,6
cpio,1,1,0
libcap,9,9,0
libuuid,1,0,1
openssh,7,4,3
e2fsprogs,2,2,0
ntp,4,4,0
net-tools,4,2,2
polkit,1,1,0
systemd,158,122,36
NetworkManager,5,4,1
procps-ng,1,1,0
bzip2,1,1,0
acl,11,9,2
openssl,33,13,20
osc,8,6,2
binutils,8,8,0
