测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
systemd,oe_test_service_systemd-portabled,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-portabled/2023-05-25-21_27_05.log,没有软件包提供 systemd-portabled.service,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-portabled/2023-05-25-16_53_57.log,
systemd,oe_test_target_usb-gadget,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_target_usb-gadget/2023-05-25-22_23_39.log,没有软件包提供 usb-gadget.target,Week1/cli0/x86/logs_failed/systemd/oe_test_target_usb-gadget/2023-05-25-17_13_02.log,
systemd,oe_test_service_systemd-initctl,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-initctl/2023-05-25-21_15_07.log,restart 正常但是该进程自动退出导致后续检查出错,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-initctl/2023-05-25-16_50_08.log,
systemd,oe_test_socket_systemd-userdbd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_socket_systemd-userdbd/2023-05-25-22_21_49.log,没有软件包提供 systemd-userdbd.socket,Week1/cli0/x86/logs_failed/systemd/oe_test_socket_systemd-userdbd/2023-05-25-17_12_26.log,
systemd,oe_test_service_systemd-journal-remote,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-journal-remote/2023-05-25-21_19_03.log,待测软件包 systemd-journal-remote 不存在,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-journal-remote/2023-05-25-16_51_38.log,
systemd,oe_test_service_systemd-quotacheck,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-quotacheck/2023-05-25-21_28_24.log,：没有软件包提供 systemd-quotacheck,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-quotacheck/2023-05-25-16_54_18.log,
systemd,oe_test_service_systemd-sysext,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-sysext/2023-05-25-22_20_13.log,没有软件包提供 systemd-sysext.service,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-sysext/2023-05-25-17_11_52.log,
systemd,oe_test_service_systemd-networkd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-networkd/2023-05-25-21_25_00.log,没有引入待测软件包 systemd-networkd,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-networkd/2023-05-25-16_53_20.log,
systemd,oe_test_socket_systemd-networkd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_socket_systemd-networkd/2023-05-25-21_48_03.log,没有引入待测软件包 systemd-networkd,Week1/cli0/x86/logs_failed/systemd/oe_test_socket_systemd-networkd/2023-05-25-17_01_31.log,
systemd,oe_test_target_remote-veritysetup,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_target_remote-veritysetup/2023-05-25-22_22_51.log,没有软件包提供 remote-veritysetup.target,Week1/cli0/x86/logs_failed/systemd/oe_test_target_remote-veritysetup/2023-05-25-17_12_45.log,
systemd,oe_test_socket_systemd-journal-remote,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_socket_systemd-journal-remote/2023-05-25-21_46_40.log,待测软件包 systemd-journal-remote 不存在,Week1/cli0/x86/logs_failed/systemd/oe_test_socket_systemd-journal-remote/2023-05-25-17_01_10.log,
systemd,oe_test_target_remote-cryptsetup,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_target_remote-cryptsetup/2023-05-25-22_06_49.log,没有软件包提供 remote-cryptsetup.target,Week1/cli0/x86/logs_failed/systemd/oe_test_target_remote-cryptsetup/2023-05-25-17_07_22.log,
systemd,oe_test_service_initrd-switch-root,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_initrd-switch-root/2023-05-25-21_03_47.log,测试结果不符合预期,Week1/cli0/x86/logs_failed/systemd/oe_test_service_initrd-switch-root/2023-05-25-16_46_34.log,
systemd,oe_test_service_systemd-journal-gatewayd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-journal-gatewayd/2023-05-25-21_17_42.log,待测软件包 systemd-journal-remote 不存在,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-journal-gatewayd/2023-05-25-16_51_17.log,
systemd,oe_test_service_systemd-networkd-wait-online,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-networkd-wait-online/2023-05-25-21_25_47.log,没有引入待测软件包 systemd-networkd,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-networkd-wait-online/2023-05-25-16_53_38.log,
systemd,oe_test_service_systemd-importd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-importd/2023-05-25-21_14_07.log,没有软件包提供 systemd-importd.service,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-importd/2023-05-25-16_49_42.log,
systemd,oe_test_service_systemd-userdbd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-userdbd/2023-05-25-22_21_02.log,没有软件包提供 systemd-userdbd.service,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-userdbd/2023-05-25-17_12_09.log,
systemd,oe_test_service_systemd-udevd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-udevd/2023-05-25-21_36_49.log,restart 返回 130 但是没有看到错误日志,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-udevd/2023-05-25-16_57_24.log,
systemd,oe_test_socket_systemd-journal-gatewayd,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_socket_systemd-journal-gatewayd/2023-05-25-21_45_19.log,待测软件包 systemd-journal-remote 不存在,Week1/cli0/x86/logs_failed/systemd/oe_test_socket_systemd-journal-gatewayd/2023-05-25-17_00_49.log,
systemd,oe_test_service_systemd-network-generator,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-network-generator/2023-05-25-21_26_35.log,初始状态不符合预期,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-network-generator/2023-05-25-16_53_56.log,
systemd,oe_test_service_dbus-org.freedesktop.import1,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_dbus-org.freedesktop.import1/2023-05-25-20_55_26.log,没有软件包提供 dbus-org.freedesktop.import1.service,Week1/cli0/x86/logs_failed/systemd/oe_test_service_dbus-org.freedesktop.import1/2023-05-25-16_43_53.log,
systemd,oe_test_target_cryptsetup-pre,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_target_cryptsetup-pre/2023-05-25-21_52_09.log,没有软件包提供 cryptsetup-pre.target,Week1/cli0/x86/logs_failed/systemd/oe_test_target_cryptsetup-pre/2023-05-25-17_03_14.log,
systemd,oe_test_socket_systemd-rfkill,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_socket_systemd-rfkill/2023-05-25-21_48_49.log,没有软件包提供 systemd-rfkill.socket,Week1/cli0/x86/logs_failed/systemd/oe_test_socket_systemd-rfkill/2023-05-25-17_01_49.log,
systemd,oe_test_target_initrd-switch-root,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_target_initrd-switch-root/2023-05-25-22_00_18.log,初始状态不符合预期,Week1/cli0/x86/logs_failed/systemd/oe_test_target_initrd-switch-root/2023-05-25-17_05_43.log,
systemd,oe_test_service_console-getty,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_console-getty/2023-05-25-20_53_53.log,Failed with result 'start-limit-hit'，先 stop 再 restart 正常,Week1/cli0/x86/logs_failed/systemd/oe_test_service_console-getty/2023-05-25-16_43_16.log,
systemd,oe_test_service_systemd-fsck-root,x86 fail,Week1/cli0/riscv/logs_failed/systemd/oe_test_service_systemd-fsck-root/2023-05-25-21_11_31.log,systemd-fsck-root.service 初始状态不符合预期,Week1/cli0/x86/logs_failed/systemd/oe_test_service_systemd-fsck-root/2023-05-25-16_48_58.log,
