测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
rocksdb,oe_test_rocksdb,2023-06-25-17_05_57.log,"file missing
",0,0,0,0,1,0,0,0,0
opencc-issue,oe_test_opencc_change_ocd,2023-06-25-14_41_06.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
opencc-issue,oe_test_opencc_tsp,2023-06-25-14_49_52.log,"file missing
",0,0,0,0,1,0,0,0,0
meson_0.63,oe_test_meson_0.63_meson_21,2023-06-25-13_46_28.log,,0,0,0,0,0,0,0,0,0
rubygem-fluentd_1.14.5,oe_test_fluent_ctl,2023-06-25-12_50_45.log,,0,0,0,0,0,0,0,0,0
rubygem-fluentd_1.14.5,oe_test_fluentd_03,2023-06-25-13_30_24.log,"file missing
",0,0,0,0,1,0,0,0,0
rubygem-fluentd_1.14.5,oe_test_fluentd_01,2023-06-25-12_56_07.log,"Broken testcase
timeout
",1,0,0,0,0,0,0,0,1
rubygem-fluentd_1.14.5,oe_test_fluent_cat_02,2023-06-25-12_43_28.log,,0,0,0,0,0,0,0,0,0
rubygem-fluentd_1.14.5,oe_test_fluent_gem_02,2023-06-25-13_50_12.log,"timeout
",0,0,0,0,0,0,0,0,1
rubygem-fluentd_1.14.5,oe_test_fluent_debug,2023-06-25-13_38_53.log,,0,0,0,0,0,0,0,0,0
rubygem-fluentd_1.14.5,oe_test_fluentd_02,2023-06-25-13_26_28.log,"file missing
",0,0,0,0,1,0,0,0,0
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_01,2023-06-25-14_15_31.log,"timeout
",0,0,0,0,0,0,0,0,1
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_02,2023-06-25-14_45_45.log,"file missing
",0,0,0,0,1,0,0,0,0
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_07,2023-06-25-16_12_24.log,"timeout
",0,0,0,0,0,0,0,0,1
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_05,2023-06-25-15_36_34.log,"timeout
",0,0,0,0,0,0,0,0,1
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_04,2023-06-25-15_28_29.log,"file missing
",0,0,0,0,1,0,0,0,0
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_06,2023-06-25-16_06_55.log,"file missing
",0,0,0,0,1,0,0,0,0
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_03,2023-06-25-14_51_47.log,"timeout
",0,0,0,0,0,0,0,0,1
lighttpd_1.4.53,oe_test_lighttpd_1.4.53_service_lighttpd,2023-06-25-16_49_17.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
etmemd,oe_test_etmemd_001,2023-06-25-17_20_31.log,,0,0,0,0,0,0,0,0,0
fetch-crl,oe_test_fetch_crl_service,2023-06-25-15_47_02.log,,0,0,0,0,0,0,0,0,0
dnssec-triggerd,oe_test_dnssec-trigger-control_03,2023-06-25-15_38_42.log,"file missing
",0,0,0,0,1,0,0,0,0
dnssec-triggerd,oe_test_dnssec-trigger-control_04,2023-06-25-15_40_30.log,"file missing
",0,0,0,0,1,0,0,0,0
dnssec-triggerd,oe_test_dnssec-trigger-control-setup,2023-06-25-15_33_13.log,"file missing
",0,0,0,0,1,0,0,0,0
dnssec-triggerd,oe_test_dnssec-triggerd,2023-06-25-15_29_08.log,"file missing
",0,0,0,0,1,0,0,0,0
dnssec-triggerd,oe_test_dnssec-trigger-control_01,2023-06-25-15_34_59.log,"file missing
",0,0,0,0,1,0,0,0,0
dnssec-triggerd,oe_test_dnssec-trigger-control_02,2023-06-25-15_37_13.log,"file missing
",0,0,0,0,1,0,0,0,0
libgeotiff_20.03,oe_test_libgeotiff,2023-06-25-17_39_58.log,"file missing
",0,0,0,0,1,0,0,0,0
embedded_third_party_packages_test,oe_test_busybox_test_001,2023-06-25-14_09_10.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_elfutils_test_001,2023-06-25-14_11_38.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_procps_test_001,2023-06-25-14_11_50.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_libpcap_test_001,2023-06-25-14_12_15.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_libffi_test_001,2023-06-25-14_10_26.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_pam_test_001,2023-06-25-14_11_03.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_e2fsprogs_test_001,2023-06-25-14_09_49.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_shadow_test_001,2023-06-25-14_10_50.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_popt_test_001,2023-06-25-14_11_15.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_dosfstools_test_001,2023-06-25-14_09_36.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_ncurses_test_001,2023-06-25-14_12_03.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_util-linux_test_001,2023-06-25-14_11_26.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_json-c_test_001,2023-06-25-14_09_24.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_libcap_test_001,2023-06-25-14_10_38.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_zlib_test_001,2023-06-25-14_12_37.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_nfs-utils_test_001,2023-06-25-14_10_13.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_logrotate_test_001,2023-06-25-14_10_01.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
embedded_third_party_packages_test,oe_test_less_test_001,2023-06-25-14_12_27.log,"Broken testcase
preinstall absent
",1,0,1,0,0,0,0,0,0
python-keyring_13.2.1,oe_test_keyring-python3,2023-06-25-16_57_47.log,"file missing
",0,0,0,0,1,0,0,0,0
robotframework,oe_test_robotframework_run,2023-06-25-15_16_42.log,"timeout
",0,0,0,0,0,0,0,0,1
struts,oe_test_struts_001,2023-06-25-17_55_02.log,,0,0,0,0,0,0,0,0,0
jgit,oe_test_jgit_03,2023-06-25-16_26_08.log,"file missing
",0,0,0,0,1,0,0,0,0
jgit,oe_test_jgit_01,2023-06-25-16_22_31.log,"file missing
",0,0,0,0,1,0,0,0,0
jgit,oe_test_jgit_02,2023-06-25-16_24_32.log,"file missing
",0,0,0,0,1,0,0,0,0
whois,oe_test_whois_03,2023-06-25-16_44_16.log,,0,0,0,0,0,0,0,0,0
pyyaml,oe_test_pyyaml,2023-06-25-17_51_16.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_cat_001,2023-06-25-17_07_30.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_syslog_logrotate_001,2023-06-25-18_34_03.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_skopeo,2023-06-25-18_23_06.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_MEMinfo_001,2023-06-25-18_09_20.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_rollback,2023-06-25-18_42_12.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_sevice_001,2023-06-25-18_22_35.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_arping,2023-06-25-19_21_55.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_perf,2023-06-25-18_19_00.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_iscsi,systemctl_for_2023-06-25-17_58_02.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_network_001,2023-06-25-18_12_41.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_yumgroup_001,2023-06-25-18_37_50.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_criu,2023-06-25-17_39_37.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_CPUinfo_001,2023-06-25-17_09_24.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_numactl,2023-06-25-18_15_30.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_df,2023-06-25-17_42_17.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_pwd_001,2023-06-25-18_20_26.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_log_001,2023-06-25-18_05_08.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
python_rsa_4.7.2,oe_test_python3-rsa_4.7.2,2023-06-25-17_02_44.log,"file missing
",0,0,0,0,1,0,0,0,0
hadoop,oe_test_service_hadoop-nodemanager,2023-06-25-17_29_21.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-proxyserver,2023-06-25-17_31_02.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-datanode,2023-06-25-17_24_09.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-namenode,2023-06-25-17_27_38.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-secondarynamenode,2023-06-25-17_34_25.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-timelineserver,2023-06-25-17_36_05.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-journalnode,2023-06-25-17_25_57.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
hadoop,oe_test_service_hadoop-resourcemanager,2023-06-25-17_32_44.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
