测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
rocksdb,1,0,1,,28,222,142,80
opencc-issue,8,6,2
itstool_2.0.7,3,3,0
meson_0.63,27,26,1
rubygem-asciidoctor,3,3,0
rubygem-fluentd_1.14.5,15,8,7
xmvn_3.0.0-24,9,2,7
lighttpd_1.4.53,1,0,1
luajit,1,1,0
etmemd,1,0,1
atd,1,1,0
fetch-crl,5,4,1
dnssec-triggerd,6,0,6
libgeotiff_20.03,1,0,1
embedded_third_party_packages_test,18,0,18
python-keyring_13.2.1,2,1,1
robotframework,9,8,1
struts,1,0,1
ocaml-22.03,2,2,0
pcre2,1,1,0
wavpack,1,1,0
jgit,3,0,3
whois,3,2,1
pyyaml,1,0,1
smoke-basic-os,86,69,17
console-setup,4,4,0
python_rsa_4.7.2,1,0,1
hadoop,8,0,8
