测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
rocksdb,oe_test_rocksdb,x86 fail,./riscv/logs_failed/rocksdb/oe_test_rocksdb/2023-06-25-17_05_57.log,"file missing
",./x86/logs_failed/rocksdb/oe_test_rocksdb/2023-06-28-13_34_26.log,"file missing
"
opencc-issue,oe_test_opencc_t2s,success,./riscv/logs/opencc-issue/oe_test_opencc_t2s/2023-06-25-14_48_00.log,,,
opencc-issue,oe_test_opencc_two,success,./riscv/logs/opencc-issue/oe_test_opencc_two/2023-06-25-14_51_34.log,,,
opencc-issue,oe_test_opencc_s2t_duan,success,./riscv/logs/opencc-issue/oe_test_opencc_s2t_duan/2023-06-25-14_41_20.log,,,
opencc-issue,oe_test_opencc_s2t_zhi,success,./riscv/logs/opencc-issue/oe_test_opencc_s2t_zhi/2023-06-25-14_46_07.log,,,
opencc-issue,oe_test_opencc_s2tw,success,./riscv/logs/opencc-issue/oe_test_opencc_s2tw/2023-06-25-14_44_32.log,,,
opencc-issue,oe_test_opencc_s2twp,success,./riscv/logs/opencc-issue/oe_test_opencc_s2twp/2023-06-25-14_42_58.log,,,
opencc-issue,oe_test_opencc_change_ocd,x86 fail,./riscv/logs_failed/opencc-issue/oe_test_opencc_change_ocd/2023-06-25-14_41_06.log,"Broken testcase
",./x86/logs_failed/opencc-issue/oe_test_opencc_change_ocd/2023-06-28-13_34_26.log,"Broken testcase
"
opencc-issue,oe_test_opencc_tsp,x86 fail,./riscv/logs_failed/opencc-issue/oe_test_opencc_tsp/2023-06-25-14_49_52.log,"file missing
",./x86/logs_failed/opencc-issue/oe_test_opencc_tsp/2023-06-28-13_34_55.log,"file missing
"
itstool_2.0.7,oe_test_itstool_base_02,success,./riscv/logs/itstool_2.0.7/oe_test_itstool_base_02/2023-06-25-16_15_35.log,,,
itstool_2.0.7,oe_test_itstool_2.0.7,success,./riscv/logs/itstool_2.0.7/oe_test_itstool_2.0.7/2023-06-25-16_18_18.log,,,
itstool_2.0.7,oe_test_itstool_base_01,success,./riscv/logs/itstool_2.0.7/oe_test_itstool_base_01/2023-06-25-16_12_50.log,,,
meson_0.63,oe_test_meson_0.63_meson_25,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_25/2023-06-25-13_56_57.log,,,
meson_0.63,oe_test_meson_0.63_meson_11,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_11/2023-06-25-12_53_42.log,,,
meson_0.63,oe_test_meson_0.63_meson_17,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_17/2023-06-25-13_28_53.log,,,
meson_0.63,oe_test_meson_0.63_meson_14,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_14/2023-06-25-13_08_55.log,,,
meson_0.63,oe_test_meson_0.63_meson_16,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_16/2023-06-25-13_25_37.log,,,
meson_0.63,oe_test_meson_0.63_meson_26,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_26/2023-06-25-14_00_10.log,,,
meson_0.63,oe_test_meson_0.63_meson_20,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_20/2023-06-25-13_42_55.log,,,
meson_0.63,oe_test_meson_0.63_meson_10,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_10/2023-06-25-12_48_58.log,,,
meson_0.63,oe_test_meson_base_meson_wrap,success,./riscv/logs/meson_0.63/oe_test_meson_base_meson_wrap/2023-06-25-14_03_01.log,,,
meson_0.63,oe_test_meson_0.63_meson_04,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_04/2023-06-25-12_26_40.log,,,
meson_0.63,oe_test_meson_0.63_meson_02,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_02/2023-06-25-12_19_54.log,,,
meson_0.63,oe_test_meson_0.63_meson_19,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_19/2023-06-25-13_37_36.log,,,
meson_0.63,oe_test_meson_0.63_meson_09,success,./riscv/logs/meson_0.63/oe_test_meson_0.63_meson_09/2023-06-25-12_46_13.log,,,
