测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
meson_0.63,oe_test_meson_0.63_meson_21,fail,./riscv/logs_failed/meson_0.63/oe_test_meson_0.63_meson_21/2023-06-25-13_46_28.log,没有引入测试需要的依赖 cmake,,
rubygem-fluentd_1.14.5,oe_test_fluent_ctl,success,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_ctl/2023-06-25-12_50_45.log,受 qemu 运行速度影响，手动重测通过,,
rubygem-fluentd_1.14.5,oe_test_fluent_gem_02,success,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_gem_02/2023-06-25-13_50_12.log,"受网络影响，手动重测通过",,
rubygem-fluentd_1.14.5,oe_test_fluent_debug,success,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluent_debug/2023-06-25-13_38_53.log,受 qemu 运行速度影响，手动重测通过,,
rubygem-fluentd_1.14.5,oe_test_fluentd_02,success,./riscv/logs_failed/rubygem-fluentd_1.14.5/oe_test_fluentd_02/2023-06-25-13_26_28.log,"受 qemu 运行速度影响，手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_01,fail,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_01/2023-06-25-14_15_31.log,"没有使用本地缓存，而是从 maven 仓库下载了，导致超时",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_02,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_02/2023-06-25-14_45_45.log,"受 qemu 运行速度影响，手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_07,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_07/2023-06-25-16_12_24.log,"受 qemu 运行速度影响，手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_05,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_05/2023-06-25-15_36_34.log,"受 qemu 运行速度影响，手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_04,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_04/2023-06-25-15_28_29.log,"手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_06,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_06/2023-06-25-16_06_55.log,"运行速度影响，手动重测通过",,
xmvn_3.0.0-24,oe_test_xmvn_base_mvn-local_03,success,./riscv/logs_failed/xmvn_3.0.0-24/oe_test_xmvn_base_mvn-local_03/2023-06-25-14_51_47.log,"受 qemu 运行速度影响，手动重测通过",,
fetch-crl,oe_test_fetch_crl_service,fail,./riscv/logs_failed/fetch-crl/oe_test_fetch_crl_service/2023-06-25-15_47_02.log,fetch-crl.service 启动失败 ERROR CRL verification failed for KEK/0 (KEK),,
jgit,oe_test_jgit_03,fail,./riscv/logs_failed/jgit/oe_test_jgit_03/2023-06-25-16_26_08.log,"jgit 依赖关系不满足",,
jgit,oe_test_jgit_01,fail,./riscv/logs_failed/jgit/oe_test_jgit_01/2023-06-25-16_22_31.log,"jgit 依赖关系不满足",,
jgit,oe_test_jgit_02,fail,./riscv/logs_failed/jgit/oe_test_jgit_02/2023-06-25-16_24_32.log,"jgit 依赖关系不满足",,
