测试套/软件包名,测试用例名,状态,日志文件,原因
os-basic,oe_test_accessdb,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_accessdb/2023-04-28-03:37:05.log,preinstall absent
,oe_test_aureport,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_aureport/2023-04-28-10:26:13.log,timeout
,oe_test_awk,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_awk/2023-04-28-03:34:31.log,
,oe_test_c++,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_c++/2023-04-28-03:32:15.log,file missing
,oe_test_chsh,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_chsh/2023-04-28-10:56:22.log,
,oe_test_count_gperftools_function,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_count_gperftools_function/2023-04-28-10:58:54.log,file missing
,oe_test_disk_graphics_card,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_graphics_card/2023-04-28-10:05:30.log,file missing
,oe_test_disk_io_sched,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_io_sched/2023-04-28-10:24:32.log,preinstall absent
,oe_test_disk_schedule_specific,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_schedule_specific/2023-04-28-08:31:35.log,
,oe_test_disk_schedule_udev,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_disk_schedule_udev/2023-04-28-08:32:02.log,preinstall absent
,oe_test_ethtool,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_ethtool/2023-04-28-08:42:35.log,file missing
,oe_test_expect,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_expect/2023-04-28-10:21:46.log,
,oe_test_fuse,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_fuse/2023-04-28-03:35:43.log,
,oe_test_gmp,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_gmp/2023-04-28-10:18:16.log,file missing
,oe_test_hostnamectl,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_hostnamectl/2023-04-28-09:16:05.log,
,oe_test_kernel_kdump,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_kernel_kdump/2023-04-28-09:16:35.log,preinstall absent
,oe_test_kernel_module_operation,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_kernel_module_operation/2023-04-28-09:51:53.log,kernel module absent
,oe_test_lastb,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_lastb/2023-04-28-10:25:56.log,
,oe_test_libffi,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_libffi/2023-04-28-10:19:24.log,file missing
,oe_test_net_VRF,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_net_VRF/2023-04-28-09:56:52.log,
,oe_test_net_cmd_scp,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_net_cmd_scp/2023-04-28-09:58:51.log,timeout
,oe_test_nmcli_set_bond,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_set_bond/2023-04-28-10:04:10.log,preinstall absent
,oe_test_nmcli_set_team,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_set_team/2023-04-28-10:06:10.log,
,oe_test_power_measurement_internal,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_power_measurement_internal/2023-04-28-08:03:14.log,
,oe_test_system_log_dmesg,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_log_dmesg/2023-04-28-04:12:53.log,
,oe_test_system_log_view,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_log_view/2023-04-28-04:11:47.log,preinstall absent
,oe_test_system_monitor_share_total,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_system_monitor_share_total/2023-04-28-10:05:14.log,
,oe_test_who,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_who/2023-04-28-03:28:28.log,
,oe_test_xmlsec,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_xmlsec/2023-04-28-10:22:18.log,file missing
,oe_test_xzcmp,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_xzcmp/2023-04-28-11:10:16.log,
,oe_test_zlib,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_zlib/2023-04-28-10:10:25.log,file missing
NetworkManager,oe_test_libnetfilter_conntrack,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/NetworkManager/oe_test_libnetfilter_conntrack/2023-05-25-16_27_41.log,镜像没有预装测试所需的 kernel-headers
OpenIPMI,oe_test_service_ipmi,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenIPMI/oe_test_service_ipmi/2023-05-25-21_21_10.log,
acl,oe_test_acl_default_kernel_setting,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acl/oe_test_acl_default_kernel_setting/2023-05-25-16_29_46.log,未打开 CONFIG_XFS_POSIX_ACL=y
arptables,oe_test_service_arptables,fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/arptables/oe_test_service_arptables/2023-05-25-21_46_57.log,
