测试套/软件包名,测试用例名,状态,日志文件,原因
ModemManager,oe_test_service_ModemManager,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ModemManager/oe_test_service_ModemManager/2023-05-25-21_17_28.log,None
PackageKit,oe_test_service_packagekit-offline-update,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/PackageKit/oe_test_service_packagekit-offline-update/2023-05-25-21_23_23.log,None
,oe_test_service_packagekit,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/PackageKit/oe_test_service_packagekit/2023-05-25-21_24_28.log,None
accountsservice,oe_test_service_accounts-daemon,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/accountsservice/oe_test_service_accounts-daemon/2023-05-25-21_30_52.log,None
acpid,oe_test_acpid_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acpid/oe_test_acpid_01/2023-05-25-21_35_22.log,None
,oe_test_acpid_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acpid/oe_test_acpid_02/2023-05-25-21_36_22.log,None
,oe_test_acpid_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acpid/oe_test_acpid_03/2023-05-25-21_37_21.log,None
,oe_test_service_acpid,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acpid/oe_test_service_acpid/2023-05-25-21_32_55.log,None
,oe_test_socket_acpid,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acpid/oe_test_socket_acpid/2023-05-25-21_34_09.log,None
arpwatch,oe_test_service_arpwatch,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/arpwatch/oe_test_service_arpwatch/2023-05-25-21_49_03.log,None
attr,oe_test_attr,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/attr/oe_test_attr/2023-05-25-16_23_58.log,None
authd,oe_test_socket_auth,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/authd/oe_test_socket_auth/2023-05-25-13:06:46.log,None
authz,oe_test_service_authz,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/authz/oe_test_service_authz/2023-05-25-13:06:47.log,None
avahi,oe_test_service_avahi-daemon,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/avahi/oe_test_service_avahi-daemon/2023-05-25-13:20:32.log,None
,oe_test_service_avahi-dnsconfd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/avahi/oe_test_service_avahi-dnsconfd/2023-05-25-13:26:31.log,None
,oe_test_socket_avahi-daemon,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/avahi/oe_test_socket_avahi-daemon/2023-05-25-13:31:57.log,None
babeltrace,oe_test_babeltrace,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/babeltrace/oe_test_babeltrace/2023-05-25-16_26_37.log,None
bind,oe_test_service_named-chroot-setup,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bind/oe_test_service_named-chroot-setup/2023-05-25-13:34:00.log,None
,oe_test_service_named-chroot,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bind/oe_test_service_named-chroot/2023-05-25-13:40:58.log,None
,oe_test_service_named-setup-rndc,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bind/oe_test_service_named-setup-rndc/2023-05-25-13:48:54.log,None
,oe_test_service_named,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bind/oe_test_service_named/2023-05-25-13:55:28.log,None
