测试套/软件包名,测试用例名,状态,日志文件,原因
os-basic,oe_test_auditctl,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_auditctl/2023-04-28-03:36:43.log,测试套问题，x86 和 riscv 原因一致，测试套没有显示安装 audit 软件包，而 x86 和 riscv 镜像均没有预装 audit 软件包，导致 auditctl: command not found
,oe_test_nmcli_config_connect,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_config_connect/2023-04-28-08:12:59.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_nmcli_config_connect.md)
,oe_test_nmcli_macsec,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_macsec/2023-04-28-08:10:38.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_nmcli_macsec.md)
,oe_test_power_powertop2tuned_optimize,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_power_powertop2tuned_optimize/2023-04-28-07:59:24.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_power_powertop2tuned_optimize.md)
,oe_test_server_openssh_verifykey,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_openssh_verifykey/2023-04-28-04:29:21.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_server_openssh_verifykey.md)
,oe_test_server_squid_blacklist,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_squid_blacklist/2023-04-28-04:25:29.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_server_squid_blacklist.md)
,oe_test_whereis,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_whereis/2023-04-28-03:29:34.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_whereis.md)
acl,oe_test_access_providepam,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/acl/oe_test_access_providepam/2023-05-25-16_28_24.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/acl/oe_test_access_providepam.md)
anaconda,oe_test_service_zram,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/anaconda/oe_test_service_zram/2023-05-25-21_41_44.log,测试套问题， x86 和 riscv 原因一致，没有软件包提供 zram.service
audit,oe_test_audit_ausearch,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/audit/oe_test_audit_ausearch/2023-05-25-22_58_32.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/audit/oe_test_audit_ausearch.md)
chrony,oe_test_service_chrony-wait,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/chrony/oe_test_service_chrony-wait/2023-07-20-12_08_39.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/chrony/oe_test_service_chrony-wait.md)
cmake,oe_test_ccmake,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cmake/oe_test_ccmake/2023-05-25-15:21:43.log,x86 和 riscv 原因一致，[详细分析](./cause_md/cmake/oe_test_ccmake.md)
,oe_test_ccmake3,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/cmake/oe_test_ccmake3/2023-05-25-15:25:48.log,x86 和 riscv 原因一致，[详细分析](./cause_md/cmake/oe_test_ccmake3.md)
crontabs,oe_test_crontabs,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/crontabs/oe_test_crontabs/2023-05-25-16_38_51.log,x86 和 riscv 原因一致，[详细分析](./cause_md/crontabs/oe_test_crontabs.md)
dbxtool,oe_test_service_dbxtool,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dbxtool/oe_test_service_dbxtool/2023-05-25-21:05:52.log,x86 和 riscv 原因一致，[详细分析](./cause_md/dbxtool/oe_test_service_dbxtool.md)
dmidecode,oe_test_dmidecode,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/dmidecode/oe_test_dmidecode/2023-05-25-22:30:42.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/dmidecode/oe_test_dmidecode.md)
ebtables,oe_test_service_ebtables,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ebtables/oe_test_service_ebtables/2023-05-26-02:18:40.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/ebtables/oe_test_service_ebtables.md)
fftw,oe_test_fftw_fftw-wisdom-to-conf,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom-to-conf/2023-05-26-14:22:42.log,x86 和 riscv 原因一致，[详细分析](./cause_md/fftw/oe_test_fftw_fftw-wisdom-to-conf.md)
