测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
ModemManager,oe_test_service_ModemManager,fail,09fail,./mugen-riscv/logs/ModemManager/oe_test_service_ModemManager/2023-08-08-16_16_45.log,Failed to restart ModemManager.service: Unit polkit.service not found，镜像没有预装 polkit 软件包
clevis,oe_test_tang_nbde,fail,09fail,./mugen-riscv/logs/clevis/oe_test_tang_nbde/2023-08-08-13_49_19.log,软件包 clevis 安装依赖出错 nothing provides libcrypto.so.1.1()(64bit) libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)
dnf,oe_test_dnf_check_diffenert-packages,fail,09fail,./mugen-riscv/logs/dnf/oe_test_dnf_check_diffenert-packages/2023-08-08-11_15_02.log,dnf check-update 异常推出，返回值 100 ，没有打印报错信息
fio,oe_test_fio_002,fail,09fail,./mugen-riscv/logs/fio/oe_test_fio_002/2023-08-08-14_28_48.log,测试多个 fio-dedupe 命令测试失败，原因未知
,oe_test_fio_003,fail,09fail,./mugen-riscv/logs/fio/oe_test_fio_003/2023-08-08-15_05_36.log,测试超时
kernel,oe_test_bnx2fc,fail,09fail,./mugen-riscv/logs/kernel/oe_test_bnx2fc/2023-08-08-11_25_04.log,2303 未测试该测试用例，内核模块 scsi/hpsa.ko 不存在
lxcfs,oe_test_service_lxcfs,fail,09fail,./mugen-riscv/logs/lxcfs/oe_test_service_lxcfs/2023-08-08-16_50_22.log,软件包 lxcfs-tools 安装依赖出错，nothing provides libabsl_synchronization.so.2206.0.0()(64bit) needed by iSulad-2.1.2-4.oe2309.riscv64
openssh,oe_test_openssh_ssh-copy-id,fail,09fail,./mugen-riscv/logs/openssh/oe_test_openssh_ssh-copy-id/2023-08-11-00_35_09.log,ssh-keygen 没有生成 pubkey 导致 /usr/bin/ssh-copy-id: ERROR: failed to open ID file '/root/.ssh/id_rsa.pub': No such file or directory
os-basic,oe_test_IOaccess_1Gfile,fail,09fail,./mugen-riscv/logs/os-basic/oe_test_IOaccess_1Gfile/2023-08-08-21_11_39.log,测试超时
,oe_test_IOaccess_500Mfile,fail,09fail,./mugen-riscv/logs/os-basic/oe_test_IOaccess_500Mfile/2023-08-08-20_23_20.log,测试超时
,oe_test_ProcMgmt_at,fail,09fail,./mugen-riscv/logs/os-basic/oe_test_ProcMgmt_at/2023-08-08-19_48_34.log,systemd-253-1 问题
