测试套/软件包名,测试用例名,状态,日志文件,原因
389-ds-base,oe_test_service_dirsrv-snmp,success,./mugen-riscv/logs/389-ds-base/oe_test_service_dirsrv-snmp/2023-05-25-21_15_40.log,None
,oe_test_target_dirsrv,success,./mugen-riscv/logs/389-ds-base/oe_test_target_dirsrv/2023-05-25-21_18_15.log,None
ImageMagick,oe_test_ImageMagick_01,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_01/2023-05-25-21_16_13.log,None
,oe_test_ImageMagick_02,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_02/2023-05-25-21_17_53.log,None
,oe_test_ImageMagick_03,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_03/2023-05-25-21_19_38.log,None
,oe_test_ImageMagick_04,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_04/2023-05-25-21_21_23.log,None
,oe_test_ImageMagick_05,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_05/2023-05-25-21_22_59.log,None
,oe_test_ImageMagick_06,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_06/2023-05-25-21_24_37.log,None
,oe_test_ImageMagick_07,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_07/2023-05-25-21_26_31.log,None
,oe_test_ImageMagick_08,success,./mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_08/2023-05-25-21_28_22.log,None
ModemManager,oe_test_service_ModemManager,success,./mugen-riscv/logs/ModemManager/oe_test_service_ModemManager/2023-05-25-21_17_28.log,None
OpenEXR,oe_test_OpenEXR_cmd,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_cmd/2023-05-25-21_19_37.log,None
,oe_test_OpenEXR_exrenvmap,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrenvmap/2023-05-25-21_24_51.log,None
,oe_test_OpenEXR_exrenvmap_exrmakepreview,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrenvmap_exrmakepreview/2023-05-25-21_22_38.log,None
,oe_test_OpenEXR_exrmaketiled,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrmaketiled/2023-05-25-21_32_55.log,None
,oe_test_OpenEXR_exrstdattr_01,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_01/2023-05-25-21_33_20.log,None
,oe_test_OpenEXR_exrstdattr_02,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_02/2023-05-25-21_33_40.log,None
,oe_test_OpenEXR_exrstdattr_03,success,./mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_03/2023-05-25-21_34_00.log,None
PackageKit,oe_test_packagekit_pkcon,x86 fail,./mugen-riscv/logs/PackageKit/oe_test_packagekit_pkcon/2023-08-03-18:41:14.log,x86 fail
,oe_test_service_packagekit-offline-update,success,./mugen-riscv/logs/PackageKit/oe_test_service_packagekit-offline-update/2023-05-25-21_23_23.log,None
,oe_test_service_packagekit,success,./mugen-riscv/logs/PackageKit/oe_test_service_packagekit/2023-05-25-21_24_28.log,None
abrt,oe_test_service_abrt-journal-core,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-journal-core/2023-05-25-21_28_11.log,None
,oe_test_service_abrt-oops,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-oops/2023-05-25-21_29_37.log,None
,oe_test_service_abrt-pstoreoops,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-pstoreoops/2023-05-25-21_31_06.log,None
,oe_test_service_abrt-upload-watch,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-upload-watch/2023-05-25-21_32_16.log,None
,oe_test_service_abrt-vmcore,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-vmcore/2023-05-25-21_33_45.log,None
,oe_test_service_abrt-xorg,success,./mugen-riscv/logs/abrt/oe_test_service_abrt-xorg/2023-05-25-21_35_36.log,None
,oe_test_service_abrtd,success,./mugen-riscv/logs/abrt/oe_test_service_abrtd/2023-05-25-21_26_41.log,None
accountsservice,oe_test_service_accounts-daemon,success,./mugen-riscv/logs/accountsservice/oe_test_service_accounts-daemon/2023-05-25-21_30_52.log,None
acpid,oe_test_acpid_01,success,./mugen-riscv/logs/acpid/oe_test_acpid_01/2023-05-25-21_35_22.log,None
,oe_test_acpid_02,success,./mugen-riscv/logs/acpid/oe_test_acpid_02/2023-05-25-21_36_22.log,None
,oe_test_acpid_03,success,./mugen-riscv/logs/acpid/oe_test_acpid_03/2023-05-25-21_37_21.log,None
,oe_test_service_acpid,success,./mugen-riscv/logs/acpid/oe_test_service_acpid/2023-05-25-21_32_55.log,None
,oe_test_socket_acpid,success,./mugen-riscv/logs/acpid/oe_test_socket_acpid/2023-05-25-21_34_09.log,None
arpwatch,oe_test_service_arpwatch,success,./mugen-riscv/logs/arpwatch/oe_test_service_arpwatch/2023-05-25-21_49_03.log,None
attr,oe_test_attr,success,./mugen-riscv/logs/attr/oe_test_attr/2023-05-25-16_23_58.log,None
authd,oe_test_socket_auth,success,./mugen-riscv/logs/authd/oe_test_socket_auth/2023-05-25-13:06:46.log,None
authz,oe_test_service_authz,success,./mugen-riscv/logs/authz/oe_test_service_authz/2023-05-25-13:06:47.log,None
autoconf213,oe_test_autoconf213_autoconf-2.13,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoconf-2.13/2023-05-25-13:14:31.log,None
,oe_test_autoconf213_autoheader-2.13,success,./mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoheader-2.13/2023-05-25-13:17:34.log,None
