测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
name,name,fail,03fail/09fail/same/diff,path to logs,说明原因，像只在03/09fail的在对比处填写03/09fail，两者均fail的填写缺陷相同（same）或不同（diff），表格名字统一为failureCause.csv
FS_FileSystem,oe_test_FSIO_change_fs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-08-11-00_21_02.log,None
,oe_test_FSIO_check_fs_mounted,success,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_mounted/2023-08-11-00_21_41.log,None
,oe_test_FSIO_check_fs_type,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_type/2023-08-11-00_22_04.log,None
,oe_test_FSIO_create_ext3,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-08-11-00_22_30.log,None
,oe_test_FSIO_create_ext4,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-08-11-00_23_06.log,None
,oe_test_FSIO_create_squashfs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_squashfs/2023-08-11-02_29_40.log,None
,oe_test_FSIO_create_xfs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_xfs/2023-08-11-00_23_40.log,None
,oe_test_FSIO_dd_mkfs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_dd_mkfs/2023-08-11-00_24_13.log,None
,oe_test_FSIO_ext3_resize2fs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext3_resize2fs/2023-08-11-00_29_33.log,None
,oe_test_FSIO_ext4_e4defrag,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_e4defrag/2023-08-11-00_30_13.log,None
,oe_test_FSIO_ext4_resize2fs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_resize2fs/2023-08-11-00_32_08.log,None
,oe_test_FSIO_loop_fs,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_loop_fs/2023-08-11-00_32_47.log,None
,oe_test_FSIO_mount_automount,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_automount/2023-08-11-00_33_37.log,None
,oe_test_FSIO_mount_block_dir,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_block_dir/2023-08-11-01_03_53.log,None
,oe_test_FSIO_mount_character_dir,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_character_dir/2023-08-11-01_04_36.log,None
,oe_test_FSIO_mount_empty_dir,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_empty_dir/2023-08-11-01_05_15.log,None
,oe_test_FSIO_mount_ext3_ro,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_ro/2023-08-11-01_05_55.log,None
,oe_test_FSIO_mount_ext3_rw,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_rw/2023-08-11-01_06_33.log,None
,oe_test_FSIO_mount_ext3_setData,success,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setData/2023-08-11-01_07_08.log,None
,oe_test_FSIO_mount_ext3_setErrors,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_setErrors/2023-08-11-01_07_44.log,None
,oe_test_FSIO_mount_ext3_sync,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_sync/2023-08-11-01_08_22.log,None
,oe_test_FSIO_mount_ext3_to_ext4,fail,same,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_ext3_to_ext4/2023-08-11-01_10_13.log,None
