测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
multipath-tools,oe_test_multipath-tools_kpartx,2023-08-08-12_54_16.log,,0,0,0,0,0,0,0,0,0
fio,oe_test_fio_001,2023-08-08-14_00_05.log,,0,0,0,0,0,0,0,0,0
fio,oe_test_fio_003,2023-08-08-15_05_36.log,"timeout
",0,0,0,0,0,0,0,0,1
fio,oe_test_fio_004,2023-08-08-15_36_51.log,,0,0,0,0,0,0,0,0,0
fio,oe_test_fio_002,2023-08-08-14_28_48.log,"timeout
",0,0,0,0,0,0,0,0,1
ndisc6,oe_test_ndisc6_rdisc6,2023-08-11-00_29_11.log,,0,0,0,0,0,0,0,0,0
ndisc6,oe_test_ndisc6_name2addr,2023-08-11-00_24_09.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_cpu_rand,2023-08-08-11_13_19.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_vport-geneve,2023-08-08-11_15_15.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_kernel_cmd_01,2023-08-08-10_53_35.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_swap_compress,2023-08-08-11_15_57.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_hinic,2023-08-08-11_10_10.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_fnic,2023-08-08-11_23_16.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_io_sched,2023-08-08-11_06_23.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_check_huge_task,2023-08-08-11_17_26.log,"timeout
",0,0,0,0,0,0,0,0,1
kernel,oe_test_snd_aloop,2023-08-08-11_08_52.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_hpsa,2023-08-08-11_24_36.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_wangxun,2023-08-08-11_20_16.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_service_cpupower,2023-08-08-11_02_42.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
kernel,oe_test_cifs,2023-08-08-11_19_05.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_lpfc,2023-08-08-11_16_39.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_libfc,2023-08-08-11_24_03.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_bnx2fc,2023-08-08-11_25_04.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_hifc,2023-08-08-11_22_23.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
lxcfs,oe_test_service_lxcfs,2023-08-08-16_50_22.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
ruby,oe_test_irb_03,2023-08-08-11_16_35.log,,0,0,0,0,0,0,0,0,0
ruby,oe_test_irb_01,2023-08-08-11_01_55.log,,0,0,0,0,0,0,0,0,0
ruby,oe_test_rdoc_01,2023-08-08-11_39_34.log,"file missing
",0,0,0,0,1,0,0,0,0
ruby,oe_test_rake_02,2023-08-08-11_25_08.log,,0,0,0,0,0,0,0,0,0
ruby,oe_test_erb,2023-08-08-10_53_36.log,,0,0,0,0,0,0,0,0,0
ruby,oe_test_ruby,2023-08-08-12_07_22.log,,0,0,0,0,0,0,0,0,0
sendmail,oe_test_sendmail_func_001,2023-08-08-15_57_05.log,"file missing
",0,0,0,0,1,0,0,0,0
vdo,oe_test_service_vdo,2023-08-08-17_27_38.log,"Broken testcase
timeout
",1,0,0,0,0,0,0,0,1
rasdaemon,oe_test_service_ras-mc-ctl,2023-08-08-16_10_56.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
irqbalance,oe_test_service_irqbalance,2023-08-09-09_59_33.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
tuned,oe_test_service_tuned,2023-08-08-17_23_40.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
clevis,oe_test_high_nbde,2023-08-08-13_18_37.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clevis,oe_test_install_clevis,2023-08-08-13_33_02.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_tang_nbde,2023-08-08-13_49_19.log,"file missing
",0,0,0,0,1,0,0,0,0
chrpath,oe_test_chrpath,2023-08-08-16_24_40.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_enabled_enablerepo,2023-08-08-11_33_50.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_list_mark,2023-08-08-11_59_07.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_reinstall_repoinfo,2023-08-08-12_18_58.log,"file missing
",0,0,0,0,1,0,0,0,0
dnf,oe_test_dnf_check_diffenert-packages,2023-08-08-11_15_02.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_repeat-upgrade-downgrade,2023-08-08-12_58_00.log,"timeout
",0,0,0,0,0,0,0,0,1
dnf,oe_test_dnf_makecache_clean,2023-08-08-11_18_43.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
dnf,oe_test_dnf_nobest_nodocs_nogpgcheck,2023-08-08-12_06_25.log,"file missing
",0,0,0,0,1,0,0,0,0
dnf,oe_test_dnf_repeat-install,2023-08-08-12_27_12.log,"timeout
",0,0,0,0,0,0,0,0,1
dnf,oe_test_dnf_all-repos,2023-08-08-10_56_02.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_enhancement_exclude,2023-08-08-11_50_28.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_provides_randomwait,2023-08-08-12_13_40.log,"file missing
",0,0,0,0,1,0,0,0,0
dnf,oe_test_dnf_priority,2023-08-08-12_11_04.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_nmcli_systemd_resolved,2023-08-08-19_08_07.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_bunzip2,2023-08-09-00_13_04.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_power_powertop_powerup,2023-08-08-18_46_53.log,,0,0,0,0,0,0,0,0,0
