测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
multipath-tools,7,6,1,,44,189,120,69
fio,4,0,4
nghttp2,1,1,0
cups-filters,1,1,0
kernel,29,15,14
libarchive,2,2,0
bison,1,0,1
openblas,1,0,1
lxcfs,1,0,1
ruby,12,7,5
vdo,1,1,0
intltool,6,4,2
gssproxy,1,1,0
memcached,3,3,0
rasdaemon,2,0,2
irqbalance,1,0,1
openwsman,1,1,0
clevis,5,2,3
sssd,17,10,7
chrpath,1,0,1
dnf,22,18,4
sane-backends,1,0,1
samba,5,4,1
avahi,3,1,2
unbound,3,2,1
libesmtp,1,1,0
e2fsprogs,2,1,1
grub2,2,2,0
security-tool,2,2,0
krb5,3,3,0
ltrace,4,4,0
cvs,8,8,0
libdb,1,0,1
nftables,10,1,9
procps-ng,1,0,1
dnsmasq,1,1,0
bolt,1,1,0
flatpak,1,1,0
ModemManager,1,0,1
sysstat,4,3,1
initscripts,5,4,1
perl-libwww-perl,9,7,2
libksba,1,1,0
geoclue2,1,1,0
