测试套/软件包名,测试用例名,状态,日志文件,原因
xfsprogs,oe_test_service_xfs_scrub_all,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/xfsprogs/oe_test_service_xfs_scrub_all/2023-09-11-22_16_11.log,None
libgpg-error,oe_test_libgpg-error,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libgpg-error/oe_test_libgpg-error/2023-09-11-22_07_15.log,None
opensm,oe_test_service_opensm,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/opensm/oe_test_service_opensm/2023-09-11-22_09_03.log,None
mariadb,oe_test_mariadb-db,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/mariadb/oe_test_mariadb-db/2023-09-11-21_37_27.log,None
,oe_test_service_mariadb,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/mariadb/oe_test_service_mariadb/2023-09-11-21_33_19.log,None
,oe_test_mariadb-table,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/mariadb/oe_test_mariadb-table/2023-09-11-21_40_44.log,None
babeltrace,oe_test_babeltrace,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/babeltrace/oe_test_babeltrace/2023-09-11-21_59_28.log,None
libappstream-glib,oe_test_libappstream-glib_appstream-builder_01,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-builder_01/2023-09-11-21_11_27.log,None
,oe_test_libappstream-glib_appstream-builder_02,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-builder_02/2023-09-11-21_11_52.log,None
,oe_test_libappstream-glib_appstream-util_01,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_01/2023-09-11-21_12_45.log,None
,oe_test_libappstream-glib_appstream-util_03,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_03/2023-09-11-21_13_40.log,None
,oe_test_libappstream-glib_appstream-compose,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-compose/2023-09-11-21_12_16.log,None
,oe_test_libappstream-glib_appstream-util_04,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_04/2023-09-11-21_14_07.log,None
,oe_test_libappstream-glib_appstream-util_05,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_05/2023-09-11-21_14_32.log,None
,oe_test_libappstream-glib_appstream-util_02,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/libappstream-glib/oe_test_libappstream-glib_appstream-util_02/2023-09-11-21_13_11.log,None
bluez,oe_test_service_bluetooth-mesh,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/bluez/oe_test_service_bluetooth-mesh/2023-09-11-21_46_09.log,None
,oe_test_service_bluetooth,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/bluez/oe_test_service_bluetooth/2023-09-11-21_46_18.log,None
xdelta,oe_test_xdelta_003,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/xdelta/oe_test_xdelta_003/2023-09-11-21_48_21.log,None
,oe_test_xdelta_002,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/xdelta/oe_test_xdelta_002/2023-09-11-21_48_00.log,None
,oe_test_xdelta_001,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month03/Week2/v4_1/logs/xdelta/oe_test_xdelta_001/2023-09-11-21_35_40.log,None
