测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
smoke-basic-os,oe_test_skopeo,2023-09-11-23_50_35.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_nfs_02,2023-09-12-01_36_20.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_aide_update_database,2023-09-12-00_26_00.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
smoke-basic-os,oe_test_network_001,2023-09-11-23_42_03.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ip_ipv6_03,2023-09-12-01_22_27.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_dumpe2fs,2023-09-11-19_44_06.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_IPV6_traceroute6_02,2023-09-12-01_25_27.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_systemd_SCEN_02,2023-09-11-18_44_08.log,"systemd unit restart failure
",0,0,0,0,0,1,0,0,0
smoke-basic-os,oe_test_grub2_mkconfig,2023-09-12-01_11_45.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_CPUinfo_001,2023-09-11-22_56_07.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_g++,2023-09-11-19_45_15.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_route_ipv6,2023-09-12-01_59_20.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_perf,2023-09-11-23_48_21.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_httpd,2023-09-11-23_33_27.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_binutils-objcopy,2023-09-11-19_45_29.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
smoke-basic-os,oe_test_normal_tcpdump_02,2023-09-11-19_24_55.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_mkdosfs,2023-09-11-19_43_45.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_rpcbind,2023-09-12-01_59_42.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ip_ipv6_01,2023-09-12-01_21_44.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_python_urllib3_urlopen_01,2023-09-12-01_57_34.log,"timeout
",0,0,0,0,0,0,0,0,1
smoke-basic-os,oe_test_user_debug_iotop_SCEN_01,2023-09-11-19_32_55.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_ethtool_01,2023-09-12-01_08_16.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_log_001,2023-09-11-23_37_55.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ip_ipv6_04,2023-09-12-01_22_38.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_normal_tcpdump_03,2023-09-12-01_42_44.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_mke2fs,2023-09-11-19_44_31.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_normal_tcpdump_04,2023-09-11-19_25_19.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_nfs_03,2023-09-12-01_37_48.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_perf_top_01,2023-09-11-19_26_02.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_yumgroup_001,2023-09-11-23_56_52.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_tftp_ipv6,2023-09-11-18_38_25.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_MEMinfo_001,2023-09-11-23_40_36.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_rsyslog_03,2023-09-12-02_03_48.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_ipv6_VLAN_02,2023-09-12-01_26_21.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_criu,2023-09-11-23_26_12.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_nfs,2023-09-11-23_42_26.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_ncurses,2023-09-12-01_35_45.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_acpid_002,2023-09-11-19_44_54.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ipv6_VLAN_01,2023-09-12-01_26_10.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_llvm,2023-09-12-00_01_39.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_tcpdump,2023-09-11-18_38_01.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_arping,2023-09-12-00_56_06.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ifconfig_ipv6_01,2023-09-12-01_19_18.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_ip_ipv6_02,2023-09-12-01_22_03.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_curl_02,2023-09-12-01_00_47.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_rollback,2023-09-11-23_59_43.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_aide_init_database,2023-09-11-19_18_28.log,"file missing
",0,0,0,0,1,0,0,0,0
smoke-basic-os,oe_test_haproxy,2023-09-11-23_31_52.log,,0,0,0,0,0,0,0,0,0
smoke-basic-os,oe_test_iproute_ipv6_01,2023-09-12-01_23_06.log,,0,0,0,0,0,0,0,0,0
irqbalance,oe_test_service_irqbalance,2023-09-11-22_05_45.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,1,0,0,1,1,1,0
