测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
smoke-basic-os,268,219,49,,69,562,419,143
opensm,1,1,0
xfsprogs,1,1,0
telnet,1,1,0
libksba,1,1,0
bluez,2,2,0
irqbalance,1,0,1
tree,1,1,0
colord,1,0,1
curl,9,6,3
radvd,1,0,1
xdelta,3,3,0
dos2unix,1,1,0
libcap,9,9,0
sqlite,17,17,0
flac,1,1,0
fftw,10,6,4
postfix,2,0,2
dkms,1,0,1
open-iscsi,7,2,5
tftp,2,2,0
iptables,5,2,3
automake,1,1,0
cachefilesd,1,0,1
samba,5,3,2
mcstrans,2,0,2
xinetd,2,1,1
audit,30,7,23
acl,16,16,0
nss-pam-ldapd,1,0,1
libxslt,1,1,0
fio,4,1,3
glusterfs,5,4,1
arpwatch,1,0,1
libosinfo,4,2,2
rtkit,1,0,1
glibc,2,2,0
babeltrace,1,1,0
cups-filters,1,0,1
e2fsprogs,2,2,0
open-isns,1,1,0
git,1,1,0
gdb,5,4,1
systemtap,3,1,2
smartmontools,1,0,1
sendmail,3,1,2
FS_File,40,33,7
mlocate,1,1,0
upower,1,0,1
mariadb,3,3,0
pam,1,1,0
fontconfig,4,3,1
tog-pegasus,1,1,0
ModemManager,1,0,1
NetworkManager,5,2,3
libmemcached,12,12,0
graphviz,1,1,0
libappstream-glib,8,8,0
bison,1,1,0
libgpg-error,1,1,0
python-blivet,1,1,0
fribidi,1,1,0
cups,3,1,2
haveged,1,1,0
libcanberra,3,3,0
dnf,22,12,10
quota,2,1,1
net-snmp,4,2,2
intltool,6,6,0
