测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
openvpn,oe_test_openvpn,2023-09-27-18_26_44.log,"timeout
",0,0,0,0,0,0,0,0,1
rpmdevtools,oe_test_rpmdevtools_rpmargs,2023-09-27-15_23_28.log,"timeout
",0,0,0,0,0,0,0,0,1
rpmdevtools,oe_test_rpmdevtools_rpmdev-wipetree,2023-09-27-15_29_02.log,"Broken testcase
timeout
",1,0,0,0,0,0,0,0,1
perl-libwww-perl,oe_test_perl-libwww-perl_lwp-dump,2023-09-27-12_31_49.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_08,2023-09-27-12_23_52.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_03,2023-09-27-12_21_38.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_02,2023-09-27-12_21_07.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_01,2023-09-27-12_20_27.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_10,2023-09-27-12_24_42.log,,0,0,0,0,0,0,0,0,0
strongswan,oe_test_service_strongswan-swanctl,2023-09-27-12_21_18.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
strongswan,oe_test_service_strongswan_01,2023-09-27-12_22_18.log,"timeout
",0,0,0,0,0,0,0,0,1
strongswan,oe_test_service_strongswan_03,2023-09-27-12_26_52.log,,0,0,0,0,0,0,0,0,0
strongswan,oe_test_service_strongswan,2023-09-27-12_20_27.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
strongswan,oe_test_service_strongswan-starter,2023-09-27-12_38_03.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
libtiff,oe_test_libtiff,2023-09-27-17_11_15.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_high_nbde,2023-09-27-15_31_56.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clevis,oe_test_install_clevis,2023-09-27-15_36_40.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_tang_encrypt,2023-09-27-15_37_58.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_service_clevis-luks-askpass,2023-09-27-15_30_14.log,"systemd unit runtime error
",0,0,0,0,0,0,1,0,0
clevis,oe_test_tang_nbde,2023-09-27-15_38_56.log,"file missing
",0,0,0,0,1,0,0,0,0
systemd,oe_test_socket_systemd-networkd,2023-09-27-19_19_42.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_target_veritysetup-pre,2023-09-27-19_50_36.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_target_cryptsetup-pre,2023-09-27-19_22_49.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_dbus-org.freedesktop.login1,2023-09-27-18_29_52.log,"systemd unit restart failure
systemd unit runtime error
",0,0,0,0,0,1,1,0,0
systemd,oe_test_socket_systemd-rfkill,2023-09-27-19_20_17.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-journal-upload,2023-09-27-18_51_56.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_service_systemd-fsck-root,2023-09-27-18_43_56.log,"systemd unit runtime error
",0,0,0,0,0,0,1,0,0
systemd,oe_test_target_initrd-switch-root,2023-09-27-19_29_59.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-portabled,2023-09-27-18_57_43.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_systemd-network-generator,2023-09-27-18_57_25.log,"preinstall absent
systemd unit runtime error
systemd unit enable failure
",0,0,1,0,0,0,1,1,0
systemd,oe_test_service_systemd-userdbd,2023-09-27-19_47_33.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_systemd-logind,2023-09-27-18_53_52.log,"systemd unit restart failure
systemd unit runtime error
",0,0,0,0,0,1,1,0,0
systemd,oe_test_socket_systemd-userdbd,2023-09-27-19_48_07.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-boot-check-no-failures,2023-09-27-18_39_13.log,"systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,0,1,1,1,0
systemd,oe_test_service_systemd-importd,2023-09-27-18_45_51.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_service_systemd-timesyncd,2023-09-27-19_03_05.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_quotaon,2023-09-27-18_36_05.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_target_remote-cryptsetup,2023-09-27-19_35_11.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-udevd,2023-09-27-19_05_06.log,"systemd unit restart failure
systemd unit runtime error
",0,0,0,0,0,1,1,0,0
systemd,oe_test_service_systemd-journal-remote,2023-09-27-18_50_39.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_service_systemd-vconsole-setup,2023-09-27-19_07_50.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_target_cryptsetup,2023-09-27-19_23_02.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-networkd,2023-09-27-18_56_15.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_dbus-org.freedesktop.import1,2023-09-27-18_27_41.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_service_systemd-initctl,2023-09-27-18_47_26.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_target_usb-gadget,2023-09-27-19_49_27.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-quotacheck,2023-09-27-18_58_39.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_socket_systemd-journal-gatewayd,2023-09-27-19_17_23.log,"file missing
",0,0,0,0,1,0,0,0,0
systemd,oe_test_service_systemd-resolved,2023-09-27-19_00_22.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_target_remote-veritysetup,2023-09-27-19_48_52.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-journal-gatewayd,2023-09-27-18_49_28.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
systemd,oe_test_service_initrd-switch-root,2023-09-27-18_34_43.log,"preinstall absent
systemd unit runtime error
",0,0,1,0,0,0,1,0,0
systemd,oe_test_service_systemd-modules-load,2023-09-27-18_56_03.log,"systemd unit runtime error
",0,0,0,0,0,0,1,0,0
systemd,oe_test_socket_systemd-journal-remote,2023-09-27-19_18_32.log,"file missing
",0,0,0,0,1,0,0,0,0
systemd,oe_test_target_veritysetup,2023-09-27-19_50_02.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_socket_systemd-journald-audit,2023-09-27-19_15_37.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
systemd,oe_test_service_systemd-sysext,2023-09-27-19_46_57.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_systemd-time-wait-sync,2023-09-27-19_03_39.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_service_dbus-org.freedesktop.portable1,2023-09-27-18_31_56.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
systemd,oe_test_target_machines,2023-09-27-19_31_15.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_socket_systemd-journald-dev-log,2023-09-27-19_16_18.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_service_systemd-networkd-wait-online,2023-09-27-18_56_50.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
iptables,oe_test_iptables-restore,2023-09-27-15_25_34.log,,0,0,0,0,0,0,0,0,0
iptables,oe_test_ip6tables-restore_01,2023-09-27-15_26_24.log,,0,0,0,0,0,0,0,0,0
cachefilesd,oe_test_service_cachefilesd,2023-09-27-16_11_30.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
samba,oe_test_service_ctdb,2023-09-27-09_42_58.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
samba,oe_test_service_samba,2023-09-27-09_45_55.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
lxc,oe_test_lxc_device_copy,2023-09-27-12_38_23.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_snapshot_start,2023-09-27-12_39_47.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_ls_monitor,2023-09-27-12_34_11.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_info,2023-09-27-12_46_16.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_autostart_cgroup,2023-09-27-12_36_59.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_unfreeze_destroy,2023-09-27-12_35_33.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_create_attach,2023-09-27-12_32_46.log,"file missing
",0,0,0,0,1,0,0,0,0
lxc,oe_test_lxc_stop_top,2023-09-27-12_44_54.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
yajl,oe_test_yajl,2023-09-27-17_08_25.log,"file missing
",0,0,0,0,1,0,0,0,0
kernel,oe_test_io_sched,2023-09-27-09_40_20.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_hinic,2023-09-27-09_40_59.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_nbd,2023-09-27-09_44_07.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_cpu_rand,2023-09-27-09_41_32.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_wangxun,2023-09-27-09_43_34.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_check_huge_task,2023-09-27-09_42_30.log,"timeout
",0,0,0,0,0,0,0,0,1
kernel,oe_test_kernel_cmd_01,2023-09-27-09_36_06.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_hpsa,2023-09-27-09_45_01.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_tcm_loop,2023-09-27-09_45_37.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_service_cpupower,2023-09-27-09_39_23.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,1,0,0,1,1,1,0
kernel,oe_test_swap_compress,2023-09-27-09_42_05.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_fnic,2023-09-27-09_44_36.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
kernel,oe_test_cifs,2023-09-27-09_43_06.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_bnx2fc,2023-09-27-09_45_12.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_hifc,2023-09-27-09_44_20.log,"kernel module absent
",0,0,0,1,0,0,0,0,0
keyutils,oe_test_keyutils-api,2023-09-27-14_38_29.log,"file missing
",0,0,0,0,1,0,0,0,0
ipvsadm,oe_test_ipvs_SCEN_TUN_06,2023-09-27-16_46_15.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
ipvsadm,oe_test_ipvs_SCEN_DR_05,2023-09-27-16_06_02.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
ipvsadm,oe_test_ipvs_SCEN_DR_06,2023-09-27-16_10_07.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
ipvsadm,oe_test_ipvs_SCEN_TUN_05,2023-09-27-16_41_30.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
crontabs,oe_test_crontabs,2023-09-27-16_13_28.log,,0,0,0,0,0,0,0,0,0
glusterfs,oe_test_service_gluster-ta-volume,2023-09-27-14_16_53.log,"systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,0,1,1,1,0
glusterfs,oe_test_service_glusterd,2023-09-27-14_11_08.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
glusterfs,oe_test_service_glustereventsd,2023-09-27-14_13_02.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
rsyslog,oe_test_rsyslog_reliability_network,2023-09-27-09_58_21.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_reliability_lenght,2023-09-27-09_57_29.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_abnormal_template,2023-09-27-09_44_23.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_tcp_firewall,2023-09-27-09_54_13.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_attribute,2023-09-27-09_45_15.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_httpd,2023-09-27-09_47_16.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_reliability_tcp,2023-09-27-10_31_01.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_tcp,2023-09-27-09_53_25.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_relp,2023-09-27-09_51_30.log,"timeout
",0,0,0,0,0,0,0,0,1
rsyslog,oe_test_rsyslog_function_shell,2023-09-27-09_53_03.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
rsyslog,oe_test_rsyslog_function_udp,2023-09-27-09_55_25.log,"timeout
",0,0,0,0,0,0,0,0,1
iperf3,oe_test_iperf3_command_client,2023-09-27-15_35_58.log,,0,0,0,0,0,0,0,0,0
iperf3,oe_test_iperf3_command_serverAndBase,2023-09-27-15_44_33.log,"timeout
",0,0,0,0,0,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_radsniff,2023-09-27-13_02_17.log,"timeout
",0,0,0,0,0,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_radlastAndRadsniff,2023-09-27-13_01_05.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_rlm_ippool_toolAndSmbencrypt,2023-09-27-14_06_48.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radwho,2023-09-27-14_05_02.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radsqlrelay,2023-09-27-13_32_51.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
freeradius,oe_test_freeradius_freeradius-utils_rad_counter,2023-09-27-12_53_39.log,"file missing
",0,0,0,0,1,0,0,0,0
freeradius,oe_test_freeradius_freeradius-utils_radclient,2023-09-27-12_47_30.log,,0,0,0,0,0,0,0,0,0
