测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
openvpn,1,0,1,,97,760,515,245
chrony,2,2,0
rpmdevtools,5,3,2
telnet,1,1,0
krb5,3,3,0
perl-libwww-perl,9,8,1
colord,1,1,0
byacc,4,4,0
nghttp2,1,1,0
geoclue2,1,1,0
qpdf,11,6,5
strongswan,11,6,5
fcoe-utils,1,1,0
libtiff,1,0,1
clevis,5,0,5
xdelta,3,3,0
polkit,1,1,0
oddjob,1,1,0
rdma-core,2,2,0
lmdb,1,1,0
libcap,9,9,0
bind,4,4,0
libmicrohttpd,1,1,0
openldap,1,1,0
sqlite,17,17,0
rsync,2,2,0
libesmtp,1,1,0
systemd,160,118,42
squid,1,1,0
xz,16,16,0
man-db,3,3,0
iptables,5,3,2
vdo,1,1,0
protobuf,1,1,0
automake,1,1,0
cachefilesd,1,0,1
samba,5,3,2
lxc,13,5,8
yajl,1,0,1
ltrace,4,4,0
protobuf-c,1,1,0
kernel,30,15,15
httpd,4,4,0
libaec,1,1,0
keyutils,3,2,1
nfs-utils,16,16,0
rpcbind,2,2,0
sysprof,2,2,0
pcsc-lite,2,2,0
ipvsadm,24,20,4
crontabs,1,0,1
psacct,2,2,0
authd,1,1,0
glusterfs,5,2,3
fprintd,1,1,0
rsyslog,27,16,11
glibc,2,2,0
iperf3,4,2,2
freeradius,18,3,15
qperf,1,0,1
e2fsprogs,2,2,0
openvswitch,7,0,7
cryptsetup,3,0,3
initial-setup,1,1,0
sendmail,3,2,1
createrepo_c,1,1,0
mlocate,1,1,0
upower,1,1,0
openssl,33,13,20
cockpit,4,1,3
gnome-shell,1,1,0
pixman,1,1,0
kexec-tools,1,0,1
dracut,9,8,1
dnsmasq,1,1,0
pam,1,1,0
libunistring,1,1,0
lorax,2,2,0
multipath-tools,7,6,1
tog-pegasus,1,1,0
ModemManager,1,1,0
realmd,1,1,0
grub2,2,2,0
NetworkManager,5,5,0
sane-backends,1,1,0
bolt,1,1,0
pbzip2,3,2,1
haveged,1,0,1
dbxtool,1,0,1
tang,3,3,0
net-tools,5,2,3
os-storage,155,88,67
sanlock,8,8,0
dnf,22,16,6
ntp,4,4,0
arptables,1,1,0
intltool,6,6,0
