测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
openvpn,oe_test_openvpn,2023-09-27-14_50_28.log,"timeout
",0,0,0,0,0,0,0,0,1
chrony,oe_test_service_chronyd,2023-09-27-14_04_51.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
chrony,oe_test_service_chrony-wait,2023-09-27-14_05_07.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
rpmdevtools,oe_test_rpmdevtools_rpmargs,2023-09-27-15_09_33.log,"timeout
",0,0,0,0,0,0,0,0,1
rpmdevtools,oe_test_rpmdevtools_rpmdev-vercmp,2023-09-27-15_11_58.log,"file missing
",0,0,0,0,1,0,0,0,0
perl-libwww-perl,oe_test_perl-libwww-perl_POST_01,2023-09-27-15_34_58.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
perl-libwww-perl,oe_test_perl-libwww-perl_GET_01,2023-09-27-15_28_04.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
perl-libwww-perl,oe_test_perl-libwww-perl_lwp-dump,2023-09-27-15_34_07.log,,0,0,0,0,0,0,0,0,0
geoclue2,oe_test_service_geoclue,2023-09-27-14_13_22.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
qpdf,oe_test_qpdf_qpdf_08,2023-09-27-15_03_26.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_03,2023-09-27-15_03_08.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_02,2023-09-27-15_03_04.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_01,2023-09-27-15_02_42.log,,0,0,0,0,0,0,0,0,0
qpdf,oe_test_qpdf_qpdf_10,2023-09-27-15_03_33.log,,0,0,0,0,0,0,0,0,0
strongswan,oe_test_service_strongswan-swanctl,2023-09-27-15_35_53.log,"file missing
systemd unit restart failure
systemd unit runtime error
",0,0,0,0,1,1,1,0,0
strongswan,oe_test_service_strongswan_01,2023-09-27-15_36_13.log,,0,0,0,0,0,0,0,0,0
strongswan,oe_test_service_strongswan_03,2023-09-27-15_38_03.log,,0,0,0,0,0,0,0,0,0
strongswan,oe_test_service_strongswan,2023-09-27-15_35_28.log,"file missing
systemd unit restart failure
systemd unit runtime error
systemd unit enable failure
",0,0,0,0,1,1,1,1,0
libtiff,oe_test_libtiff,2023-09-27-14_28_55.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_high_nbde,2023-09-27-14_04_57.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
clevis,oe_test_tang_encrypt,2023-09-27-14_05_50.log,"file missing
",0,0,0,0,1,0,0,0,0
clevis,oe_test_service_clevis-luks-askpass,2023-09-27-14_04_51.log,"systemd unit runtime error
",0,0,0,0,0,0,1,0,0
polkit,oe_test_service_polkit,2023-09-27-15_01_07.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
lmdb,oe_test_lmdb,2023-09-27-15_25_44.log,"file missing
",0,0,0,0,1,0,0,0,0
libmicrohttpd,oe_test_libmicrohttpd,2023-09-27-14_27_24.log,"file missing
",0,0,0,0,1,0,0,0,0
systemd,oe_test_socket_systemd-networkd,2023-09-27-15_42_03.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_target_veritysetup-pre,2023-09-27-15_52_57.log,,0,0,0,0,0,0,0,0,0
systemd,oe_test_target_cryptsetup-pre,2023-09-27-15_43_38.log,,0,0,0,0,0,0,0,0,0
