测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
openvpn,1,0,1,,97,760,482,278
chrony,2,0,2
rpmdevtools,5,3,2
telnet,1,1,0
krb5,3,3,0
perl-libwww-perl,9,6,3
colord,1,1,0
byacc,4,4,0
nghttp2,1,1,0
geoclue2,1,0,1
qpdf,11,6,5
strongswan,11,7,4
fcoe-utils,1,1,0
libtiff,1,0,1
clevis,5,2,3
xdelta,3,3,0
polkit,1,0,1
oddjob,1,1,0
rdma-core,2,2,0
lmdb,1,0,1
libcap,9,9,0
bind,4,4,0
libmicrohttpd,1,0,1
openldap,1,1,0
sqlite,17,17,0
rsync,2,2,0
libesmtp,1,1,0
systemd,160,118,42
squid,1,1,0
xz,16,16,0
man-db,3,3,0
iptables,5,0,5
vdo,1,1,0
protobuf,1,1,0
automake,1,0,1
cachefilesd,1,0,1
samba,5,4,1
lxc,13,4,9
yajl,1,0,1
ltrace,4,4,0
protobuf-c,1,1,0
kernel,30,16,14
httpd,4,4,0
libaec,1,1,0
keyutils,3,2,1
nfs-utils,16,3,13
rpcbind,2,2,0
sysprof,2,2,0
pcsc-lite,2,2,0
ipvsadm,24,17,7
crontabs,1,0,1
psacct,2,2,0
authd,1,1,0
glusterfs,5,1,4
fprintd,1,0,1
rsyslog,27,17,10
glibc,2,2,0
iperf3,4,3,1
freeradius,18,10,8
qperf,1,1,0
e2fsprogs,2,2,0
openvswitch,7,3,4
cryptsetup,3,0,3
initial-setup,1,1,0
sendmail,3,2,1
createrepo_c,1,0,1
mlocate,1,1,0
upower,1,1,0
openssl,33,13,20
cockpit,4,4,0
gnome-shell,1,1,0
pixman,1,0,1
kexec-tools,1,1,0
dracut,9,8,1
dnsmasq,1,0,1
pam,1,1,0
libunistring,1,0,1
lorax,2,2,0
multipath-tools,7,5,2
tog-pegasus,1,1,0
ModemManager,1,0,1
realmd,1,1,0
grub2,2,2,0
NetworkManager,5,5,0
sane-backends,1,1,0
bolt,1,1,0
pbzip2,3,2,1
haveged,1,1,0
dbxtool,1,0,1
tang,3,3,0
net-tools,5,3,2
os-storage,155,70,85
sanlock,8,7,1
dnf,22,17,5
ntp,4,4,0
arptables,1,1,0
intltool,6,4,2
