测试套/软件包名,测试用例名,状态,日志文件,原因
sysprof,oe_test_service_sysprof2,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/sysprof/oe_test_service_sysprof2/2023-10-10-20_29_25.log,None
,oe_test_service_sysprof3,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/sysprof/oe_test_service_sysprof3/2023-10-10-20_31_59.log,None
nghttp2,oe_test_service_nghttpx,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/nghttp2/oe_test_service_nghttpx/2023-10-10-20_44_44.log,None
lmdb,oe_test_lmdb,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/lmdb/oe_test_lmdb/2023-10-10-20_42_53.log,None
man-db,oe_test_service_man-db-cache-update,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/man-db/oe_test_service_man-db-cache-update/2023-10-10-20_13_22.log,None
,oe_test_service_man-db,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/man-db/oe_test_service_man-db/2023-10-10-20_13_34.log,None
,oe_test_service_man-db_01,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/man-db/oe_test_service_man-db_01/2023-10-10-20_13_46.log,None
protobuf-c,oe_test_protobuf-c_01,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/protobuf-c/oe_test_protobuf-c_01/2023-10-10-20_59_05.log,None
authd,oe_test_socket_auth,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/authd/oe_test_socket_auth/2023-10-10-20_34_22.log,None
openldap,oe_test_service_slapd,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/openldap/oe_test_service_slapd/2023-10-10-20_46_02.log,None
xdelta,oe_test_xdelta_003,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/xdelta/oe_test_xdelta_003/2023-10-10-20_30_05.log,None
,oe_test_xdelta_002,success,/home/hachi/Desktop/Work/PLCT-Working/Done/Month04/Week2/rc5_3/logs/xdelta/oe_test_xdelta_002/2023-10-10-20_29_15.log,None
