测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
lvm2,oe_test_lvm2_vgexport_001,2023-05-25-16_35_25.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_service_lvm2-monitor,systemctl_for_2023-05-25-16_30_09.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvdisplay_001,2023-05-25-16_34_09.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvchange_001,2023-05-25-16_34_45.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgrename_001,2023-05-25-16_34_01.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvmove_002,2023-05-25-16_34_17.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvresize_001,2023-05-25-16_32_55.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_lvm2_vgextend_002,2023-05-25-16_35_00.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgextend_001,2023-05-25-16_35_10.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_vgchange_002,2023-05-25-16_35_31.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvmove_001,2023-05-25-16_33_15.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_service_blk-availability,2023-05-25-16_28_34.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
lvm2,oe_test_lvm2_pvcreate_001,2023-05-25-16_33_02.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvremove_001,2023-05-25-16_32_03.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_lvm2_vgcreate_001,2023-05-25-16_33_27.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_service_dm-event,2023-05-25-16_28_53.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
lvm2,oe_test_lvm2_vgdisplay_001,2023-05-25-16_33_52.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_lvm2_pvcreate_002,2023-05-25-16_32_34.log,"file missing
",0,0,0,0,1,0,0,0,0
lvm2,oe_test_lvm2_pvdisplay_002,2023-05-25-16_33_43.log,,0,0,0,0,0,0,0,0,0
lvm2,oe_test_service_lvm2-lvmpolld,2023-05-25-16_29_51.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
lvm2,oe_test_lvm2_vgchange_001,2023-05-25-16_34_52.log,"file missing
",0,0,0,0,1,0,0,0,0
kernel,oe_test_cpu_rand,2023-05-25-16_29_52.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_swap_compress,2023-05-25-16_29_55.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_hinic,2023-05-25-16_29_48.log,,0,0,0,0,0,0,0,0,0
kernel,oe_test_io_sched,2023-05-25-16_29_43.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
kernel,oe_test_check_huge_task,2023-05-25-16_29_59.log,"timeout
",0,0,0,0,0,0,0,0,1
kernel,oe_test_cifs,2023-05-25-16_30_03.log,,0,0,0,0,0,0,0,0,0
hostname,oe_test_service_nis-domainname,2023-05-25-16_30_21.log,"preinstall absent
systemd unit restart failure
systemd unit runtime error
",0,0,1,0,0,1,1,0,0
crontabs,oe_test_crontabs,2023-05-25-16_32_22.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_enabled_enablerepo,2023-05-25-16_38_59.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_list_mark,2023-05-25-16_40_09.log,"timeout
",0,0,0,0,0,0,0,0,1
dnf,oe_test_dnf_reinstall_repoinfo,2023-05-25-16_44_44.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_check_diffenert-packages,2023-05-25-16_36_30.log,,0,0,0,0,0,0,0,0,0
dnf,oe_test_dnf_repeat-upgrade-downgrade,2023-05-25-16_46_43.log,"timeout
",0,0,0,0,0,0,0,0,1
