测试套/软件包名,测试用例名,日志文件,原因,Broken testcase,pkg not found,preinstall absent,kernel module absent,file missing,systemd unit restart failure,systemd unit runtime error,systemd unit enable failure,timeout
os-basic,oe_test_power_powertop_powerup,2023-05-24-20_39_43.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_team,2023-05-24-22_47_49.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_fuse,2023-05-24-18_31_36.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_server_squid_blacklist,2023-05-24-18_53_55.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_disk_schedule_udev,2023-05-24-21_08_18.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_auditctl,2023-05-24-18_32_56.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_system_monitor_share_total,2023-05-24-22_45_37.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_ntp_set_date_time,2023-05-24-22_54_01.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_IOaccess_1Gfile,2023-05-24-22_10_08.log,"timeout
",0,0,0,0,0,0,0,0,1
os-basic,oe_test_who,2023-05-24-18_27_44.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_disk_graphics_card,2023-05-24-22_45_58.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_more,2023-05-24-22_55_14.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
os-basic,oe_test_awk,2023-05-24-18_30_02.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_bsdcat,2023-05-24-18_34_55.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_server_openssh_verifykey,2023-05-24-19_00_04.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
os-basic,oe_test_system_log_recorded,2023-05-24-18_39_07.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_power_measurement_internal,2023-05-24-20_47_19.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_ProcMgmt_crontab_cmd,2023-05-24-21_00_55.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_nmcli_set_bond,2023-05-24-22_44_04.log,"preinstall absent
",0,0,1,0,0,0,0,0,0
os-basic,oe_test_disk_schedule_specific,2023-05-24-21_07_50.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_power_powertop2tuned_optimize,2023-05-24-20_42_57.log,,0,0,0,0,0,0,0,0,0
os-basic,oe_test_kernel_kdump,systemctl_for_2023-05-24-22_01_48.log,"Broken testcase
",1,0,0,0,0,0,0,0,0
os-basic,oe_test_zlib,2023-05-24-22_52_33.log,"file missing
",0,0,0,0,1,0,0,0,0
os-basic,oe_test_sos,2023-05-24-20_07_58.log,"timeout
",0,0,0,0,0,0,0,0,1
openssh,oe_test_sec_ssh,2023-05-24-18_31_21.log,"file missing
",0,0,0,0,1,0,0,0,0
openssh,oe_test_openssh_cipher,2023-05-24-18_27_44.log,,0,0,0,0,0,0,0,0,0
openssh,oe_test_sec_jump_login,2023-05-24-18_33_59.log,,0,0,0,0,0,0,0,0,0
auter,oe_test_auter,2023-05-24-19_02_47.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_procmgmt_who,2019-08-14-15_42_12.log,,0,0,0,0,0,0,0,0,0
admin_guide,oe_test_nginx_manage_status,2019-08-14-15_38_20.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_mariadb_grant_delete_authorization,2019-08-14-15_12_02.log,"file missing
timeout
",0,0,0,0,1,0,0,0,1
admin_guide,oe_test_nginx_check_configuration,2019-08-14-15_41_08.log,"file missing
",0,0,0,0,1,0,0,0,0
admin_guide,oe_test_basic_query_cpu,2023-05-24-18_39_56.log,"preinstall absent
timeout
",0,0,1,0,0,0,0,0,1
admin_guide,oe_test_ip_cmd_route,2019-08-14-15_50_33.log,,0,0,0,0,0,0,0,0,0
