测试套/软件包名,测试用例名,状态,日志文件,原因,x86 日志文件,x86 原因
lvm2,oe_test_lvm2_vgexport_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_vgexport_001/2023-05-25-17_56_06.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_vgexport_001/2023-05-25-16_35_25.log,unknown
lvm2,oe_test_service_lvm2-monitor,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_service_lvm2-monitor/systemctl_for_2023-05-25-17_29_55.log,没有引入测试对象软件包 lvm2,Week1/cli0/x86/logs_failed/lvm2/oe_test_service_lvm2-monitor/systemctl_for_2023-05-25-16_30_09.log,"Broken testcase"
lvm2,oe_test_lvm2_pvdisplay_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_pvdisplay_001/2023-05-25-17_47_58.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_pvdisplay_001/2023-05-25-16_34_09.log,unknown
lvm2,oe_test_lvm2_pvchange_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_pvchange_001/2023-05-25-17_50_26.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_pvchange_001/2023-05-25-16_34_45.log,unknown
lvm2,oe_test_lvm2_vgrename_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_vgrename_001/2023-05-25-17_46_56.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_vgrename_001/2023-05-25-16_34_01.log,unknown
lvm2,oe_test_lvm2_pvmove_002,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_pvmove_002/2023-05-25-17_49_01.log,"lvm2.json 缺少配置 ""add disk"": [3] 且缺少内核模块 dm-mirror",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_pvmove_002/2023-05-25-16_34_17.log,unknown
lvm2,oe_test_lvm2_pvresize_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_pvresize_001/2023-05-25-17_40_21.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_pvresize_001/2023-05-25-16_32_55.log,"file missing"
lvm2,oe_test_lvm2_vgextend_002,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_vgextend_002/2023-05-25-17_52_49.log,"lvm2.json 缺少配置 ""add disk"": [3]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_vgextend_002/2023-05-25-16_35_00.log,unknown
lvm2,oe_test_lvm2_vgextend_001,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_vgextend_001/2023-05-25-17_54_11.log,"lvm2.json 缺少配置 ""add disk"": [3]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_vgextend_001/2023-05-25-16_35_10.log,unknown
lvm2,oe_test_lvm2_vgchange_002,x86 fail,Week1/cli0/riscv/logs_failed/lvm2/oe_test_lvm2_vgchange_002/2023-05-25-17_57_25.log,"lvm2.json 缺少配置 ""add disk"": [2]",Week1/cli0/x86/logs_failed/lvm2/oe_test_lvm2_vgchange_002/2023-05-25-16_35_31.log,unknown
