测试套/软件包名,测试用例名,状态,日志文件,原因
aspell,oe_test_aspell_01,x86 fail,./risc-v/logs/aspell/oe_test_aspell_01/2023-06-22-15_43_01.log,x86 fail
,oe_test_aspell_02,success,./risc-v/logs/aspell/oe_test_aspell_02/2023-06-22-15_44_02.log,None
,oe_test_aspell_precat_01,success,./risc-v/logs/aspell/oe_test_aspell_precat_01/2023-06-22-15_44_51.log,None
libguestfs,oe_test_libguestfish_guestunmount,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfish_guestunmount/2023-06-22-15_43_02.log,x86 fail
,oe_test_libguestfs_guestfish_01,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestfish_01/2023-06-22-15_43_57.log,x86 fail
,oe_test_libguestfs_guestfish_02,fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestfish_02/2023-06-22-15_44_45.log ,测试所需 qemu 镜像没有 riscv 架构
,oe_test_libguestfs_guestfish_03,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestfish_03/2023-06-22-15_45_30.log,x86 fail
,oe_test_libguestfs_guestmount_01,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestmount_01/2023-06-22-15_46_18.log,x86 fail
,oe_test_libguestfs_guestmount_02,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestmount_02/2023-06-22-15_47_04.log,x86 fail
,oe_test_libguestfs_guestmount_03,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_guestmount_03/2023-06-22-15_47_52.log,x86 fail
,oe_test_libguestfs_libguestfs-boot-analysis,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_libguestfs-boot-analysis/2023-06-22-15_48_35.log,x86 fail
,oe_test_libguestfs_libguestfs-boot-benchmark,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_libguestfs-boot-benchmark/2023-06-22-15_49_21.log,x86 fail
,oe_test_libguestfs_libguestfs-test-tool,fail,./risc-v/logs/libguestfs/oe_test_libguestfs_libguestfs-test-tool/2023-06-22-15_50_04.log ,测试所需 qemu 镜像没有 riscv 架构
,oe_test_libguestfs_virt-alignment-scan,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-alignment-scan/2023-06-22-15_50_46.log,x86 fail
,oe_test_libguestfs_virt-builder,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-builder/2023-06-22-15_51_35.log,x86 fail
,oe_test_libguestfs_virt-cat,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-cat/2023-06-22-15_56_42.log,x86 fail
,oe_test_libguestfs_virt-copy-in,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-copy-in/2023-06-22-15_57_37.log,x86 fail
,oe_test_libguestfs_virt-copy-out,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-copy-out/2023-06-22-15_58_21.log,x86 fail
,oe_test_libguestfs_virt-customize,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-customize/2023-06-22-15_59_11.log,x86 fail
,oe_test_libguestfs_virt-df_01,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-df_01/2023-06-22-15_59_35.log,x86 fail
,oe_test_libguestfs_virt-df_02,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-df_02/2023-06-22-16_00_26.log,x86 fail
,oe_test_libguestfs_virt-dib,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-dib/2023-06-22-16_01_11.log,x86 fail
,oe_test_libguestfs_virt-diff_01,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-diff_01/2023-06-22-16_01_35.log,x86 fail
,oe_test_libguestfs_virt-diff_02,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-diff_02/2023-06-22-16_02_26.log,x86 fail
,oe_test_libguestfs_virt-diff_03,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-diff_03/2023-06-22-16_03_17.log,x86 fail
,oe_test_libguestfs_virt-filesystems_01,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-filesystems_01/2023-06-22-16_04_05.log,x86 fail
,oe_test_libguestfs_virt-filesystems_02,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-filesystems_02/2023-06-22-16_04_57.log,x86 fail
,oe_test_libguestfs_virt-filesystems_03,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-filesystems_03/2023-06-22-16_05_54.log,x86 fail
,oe_test_libguestfs_virt-format,x86 fail,./risc-v/logs/libguestfs/oe_test_libguestfs_virt-format/2023-06-22-16_06_38.log,x86 fail
