BaseOS-Name,Mugen-Tests
os-basic,os-basic
os-storage,os-storage
smoke-basic-os,smoke-basic-os
smoke-iSulad,smoke-iSulad
smoke-baseinfo,smoke-baseinfo
embedded_application_develop_tests,embedded_application_develop_tests
embedded_os_basic_test,embedded_os_basic_test
embedded_tiny_image_test,embedded_tiny_image_test
embedded_third_party_packages_test,embedded_third_party_packages_test
FS_Device,FS_Device
FS_Directory,FS_Directory
FS_Negative,FS_Negative
FS_Raw,FS_Raw
FS_iSula,FS_iSula
glibc,glibc
ceph,ceph
ypserv,ypserv
ypbind,ypbind
yajl,yajl
xinetd,xinetd
xfsprogs,xfsprogs
xdelta,xdelta
wpa_supplicant,wpa_supplicant
vsftpd,vsftpd
vdo,vdo
valgrind,valgrind
util-linux,util-linux
usbmuxd,usbmuxd
upower,upower
unbound,unbound
udisks2,udisks2
tuned,tuned
tpm-tools,tpm-tools_20.03
tog-pegasus,tog-pegasus
timedatex,timedatex
tigervnc,tigervnc
tftp,tftp
telnet,telnet
tang,tang
systemtap,systemtap
systemd,systemd
sysstat,sysstat
sysprof,sysprof
switcheroo-control,switcheroo-control
sudo,sudo
strongswan,strongswan
sssd,sssd
squid,squid
sqlite,sqlite
spice-vdagent,spice-vdagent
smartmontools,smartmontools
slang,slang
sendmail,sendmail
security-tool,security-tool
sanlock,sanlock
sane-backends,sane-backends
samba,samba
ruby,ruby
rtkit,rtkit
rsyslog,rsyslog
rsync,rsync
rrdtool,rrdtool
rpmlint,rpmlint
rpmdevtools,rpmdevtools
rpcbind,rpcbind
rng-tools,rng-tools
rhash,rhash_1.4.2
realmd,realmd
rdma-core,rdma-core
rdate,rdate
rasdaemon,rasdaemon
radvd,radvd
quota,quota
qperf,qperf
qpdf,qpdf
qemu,qemu
PyYAML,pyyaml
python-rtslib,python-rtslib
python-blivet,python-blivet
psacct,psacct
protobuf,protobuf
procps-ng,procps-ng
powertop,powertop
postfix,postfix
poppler,poppler
polkit,polkit
policycoreutils,policycoreutils
pngquant,pngquant
plymouth,plymouth
pkgconf,pkgconf
pixman,pixman
pigz,pigz
pesign,pesign
perl-libwww-perl,perl-libwww-perl
pcsc-lite,pcsc-lite
pcre2,pcre2
pcp,pcp
pbzip2,pbzip2
patchutils,patchutils
papi,papi
pam,pam
PackageKit,PackageKit
ostree,ostree
openwsman,openwsman
openvswitch,openvswitch
openvpn,openvpn
openssl,openssl
openssh,openssh
opensm,opensm
openslp,openslp
openscap,openscap
openldap,openldap
openjdk-1.8.0,java-1.8.0-openjdk
open-isns,open-isns
open-iscsi,open-iscsi
OpenIPMI,OpenIPMI
openblas,openblas
oddjob,oddjob
numad,numad
ntp,ntp
nss-pam-ldapd,nss-pam-ldapd
nss,nss
nspr,nspr
nghttp2,nghttp2
nftables,nftables
nfs-utils,nfs-utils
NetworkManager,NetworkManager
net-tools,net-tools
net-snmp,net-snmp
netcf,netcf
ndisc6,ndisc6
mysql,mysql
multipath-tools,multipath-tools
mtx,mtx
ModemManager,ModemManager
mlocate,mlocate
mksh,mksh
memcached,memcached
mdadm,mdadm
mcstrans,mcstrans
mc,mc
mariadb,mariadb
man-db,man-db
lxcfs,lxcfs
lxc,lxc
lvm2,lvm2
ltrace,ltrace
lorax,lorax
lmdb,lmdb
lm_sensors,lm_sensors
lldpad,lldpad
lksctp-tools,lksctp-tools
libxslt,libxslt
libvma,libvma
libvirt,libvirt
libunistring,libunistring
libtar,libtar
libstoragemgmt,libstoragemgmt
libreswan,libreswan
libosinfo,libosinfo
libmicrohttpd,libmicrohttpd
libmemcached,libmemcached
libldb,libldb
libgpg-error,libgpg-error
libesmtp,libesmtp
libcgroup,libcgroup
libcap,libcap
libcanberra,libcanberra
libarchive,libarchive
libappstream-glib,libappstream-glib
krb5,krb5
kpatch,kpatch
kmod,kmod
keyutils,keyutils
kexec-tools,kexec-tools
kernel,kernel
keepalived,keepalived
javapackages-tools,javapackages-tools
iSulad,iSulad
irqbalance,irqbalance
ipvsadm,ipvsadm
iputils,iputils
iptables,iptables
ipset,ipset
iprutils,iprutils
ipmitool,ipmitool
iperf3,iperf3
intltool,intltool
initscripts,initscripts
initial-setup,initial-setup
hwloc,hwloc_1.11.9  hwloc_2.7.1
httpd,httpd
hostname,hostname
hdparm,hdparm
haveged,haveged
gssproxy,gssproxy
gsl,gsl
grub2,grub2
graphviz,graphviz
gpm,gpm
gnome-shell,gnome-shell
glusterfs,glusterfs
glib2,glib2
git,git
ghostscript,ghostscript
geoclue2,geoclue2
gdm,gdm
gdb,gdb
fribidi,fribidi
freeradius,freeradius
fprintd,fprintd
flatpak,flatpak
flac,flac
firewalld,firewalld
fio,fio
fftw,fftw
fcoe-utils,fcoe-utils
fakeroot,fakeroot
enchant2,enchant2_2.2.15  enchant2_2.3.3
ebtables,ebtables
e2fsprogs,e2fsprogs
dracut,dracut
dos2unix,dos2unix
dnsmasq,dnsmasq
dnf,dnf
dmidecode,dmidecode
dkms,dkms
