测试套/软件包名,测试用例名,状态,日志文件,原因
389-ds-base,oe_test_service_dirsrv-snmp,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/389-ds-base/oe_test_service_dirsrv-snmp/2023-05-25-21_15_40.log,None
,oe_test_target_dirsrv,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/389-ds-base/oe_test_target_dirsrv/2023-05-25-21_18_15.log,None
ImageMagick,oe_test_ImageMagick_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_01/2023-05-25-21_16_13.log,None
,oe_test_ImageMagick_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_02/2023-05-25-21_17_53.log,None
,oe_test_ImageMagick_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_03/2023-05-25-21_19_38.log,None
,oe_test_ImageMagick_04,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_04/2023-05-25-21_21_23.log,None
,oe_test_ImageMagick_05,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_05/2023-05-25-21_22_59.log,None
,oe_test_ImageMagick_06,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_06/2023-05-25-21_24_37.log,None
,oe_test_ImageMagick_07,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_07/2023-05-25-21_26_31.log,None
,oe_test_ImageMagick_08,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/ImageMagick/oe_test_ImageMagick_08/2023-05-25-21_28_22.log,None
OpenEXR,oe_test_OpenEXR_cmd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_cmd/2023-05-25-21_19_37.log,None
,oe_test_OpenEXR_exrenvmap,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrenvmap/2023-05-25-21_24_51.log,None
,oe_test_OpenEXR_exrenvmap_exrmakepreview,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrenvmap_exrmakepreview/2023-05-25-21_22_38.log,None
,oe_test_OpenEXR_exrmaketiled,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrmaketiled/2023-05-25-21_32_55.log,None
,oe_test_OpenEXR_exrstdattr_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_01/2023-05-25-21_33_20.log,None
,oe_test_OpenEXR_exrstdattr_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_02/2023-05-25-21_33_40.log,None
,oe_test_OpenEXR_exrstdattr_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/OpenEXR/oe_test_OpenEXR_exrstdattr_03/2023-05-25-21_34_00.log,None
abrt,oe_test_service_abrt-journal-core,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-journal-core/2023-05-25-21_28_11.log,None
,oe_test_service_abrt-oops,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-oops/2023-05-25-21_29_37.log,None
,oe_test_service_abrt-pstoreoops,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-pstoreoops/2023-05-25-21_31_06.log,None
,oe_test_service_abrt-upload-watch,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-upload-watch/2023-05-25-21_32_16.log,None
,oe_test_service_abrt-vmcore,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-vmcore/2023-05-25-21_33_45.log,None
,oe_test_service_abrt-xorg,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrt-xorg/2023-05-25-21_35_36.log,None
,oe_test_service_abrtd,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/abrt/oe_test_service_abrtd/2023-05-25-21_26_41.log,None
autoconf213,oe_test_autoconf213_autoconf-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoconf-2.13/2023-05-25-13:14:31.log,None
,oe_test_autoconf213_autoheader-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoheader-2.13/2023-05-25-13:17:34.log,None
,oe_test_autoconf213_autoreconf-2.13_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_01/2023-05-25-13:20:26.log,None
,oe_test_autoconf213_autoreconf-2.13_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_02/2023-05-25-13:23:16.log,None
,oe_test_autoconf213_autoreconf-2.13_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_03/2023-05-25-13:26:57.log,None
,oe_test_autoconf213_autoreconf-2.13_04,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_04/2023-05-25-13:30:23.log,None
,oe_test_autoconf213_autoreconf-2.13_05,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_05/2023-05-25-13:33:29.log,None
,oe_test_autoconf213_autoreconf-2.13_06,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoreconf-2.13_06/2023-05-25-13:36:18.log,None
,oe_test_autoconf213_autoupdate-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_autoupdate-2.13/2023-05-25-13:38:48.log,None
,oe_test_autoconf213_ifnames-2.13,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/autoconf213/oe_test_autoconf213_ifnames-2.13/2023-05-25-13:41:37.log,None
bcrypt,oe_test_bcrypt,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/bcrypt/oe_test_bcrypt/2023-05-25-13:25:45.log,None
genders,oe_test_genders,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/genders/oe_test_genders/2023-06-26-03:20:46.log,None
tinycdb,oe_test_tinycdb_cdb_01,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/tinycdb/oe_test_tinycdb_cdb_01/2023-06-26-03:08:30.log,None
,oe_test_tinycdb_cdb_02,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/tinycdb/oe_test_tinycdb_cdb_02/2023-06-26-03:10:04.log,None
leptonica,oe_test_leptonica,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/leptonica/oe_test_leptonica/2023-06-26-03:25:40.log,None
perl-File-MimeInfo,oe_test_perl-File-MimeInfo_mimetype_03,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_03/2023-06-26-02:20:22.log,None
,oe_test_perl-File-MimeInfo_mimetype_04,success,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/perl-File-MimeInfo/oe_test_perl-File-MimeInfo_mimetype_04/2023-06-26-02:22:46.log,None
