测试套/软件包名,测试用例名,状态,日志文件,原因
os-basic,oe_test_auditctl,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_auditctl/2023-04-28-03:36:43.log,测试套问题，x86 和 riscv 原因一致，测试套没有显示安装 audit 软件包，而 x86 和 riscv 镜像均没有预装 audit 软件包，导致 auditctl: command not found
,oe_test_catman,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_catman/2023-04-28-03:30:09.log,可能是测试套问题， x86 和 riscv 原因基本一致 [详细分析](./cause_md/os-basic/oe_test_catman.md)
,oe_test_dmraid,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_dmraid/2023-04-28-03:31:39.log,测试套问题， x86 和 riscv 原因不同，  [详细分析](./cause_md/os-basic/oe_test_dmraid.md)
,oe_test_nmcli_config_connect,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_config_connect/2023-04-28-08:12:59.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_nmcli_config_connect.md)
,oe_test_nmcli_macsec,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_nmcli_macsec/2023-04-28-08:10:38.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_nmcli_macsec.md)
,oe_test_power_powertop2tuned_optimize,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_power_powertop2tuned_optimize/2023-04-28-07:59:24.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_power_powertop2tuned_optimize.md)
,oe_test_reboot,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_reboot/2023-04-28-05:55:16.log,测试环境问题，需要重测
,oe_test_server_mariadb_compatibilty,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_mariadb_compatibilty/2023-04-28-04:54:41.log,测试环境问题，需要重测
,oe_test_server_openssh_verifykey,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_openssh_verifykey/2023-04-28-04:29:21.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_server_openssh_verifykey.md)
,oe_test_server_squid_blacklist,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/os-basic/oe_test_server_squid_blacklist/2023-04-28-04:25:29.log,x86 和 riscv 原因一致，[详细分析](./cause_md/os-basic/oe_test_server_squid_blacklist.md)
